product_name_norm,representative_plu_code,representative_category,candidate_plu_count
(G)3단우산(네이비),2220021471995,생활잡화,1
(G)3단우산(블랙),2220021472015,생활잡화,1
(G)G7커피믹스*18입,8935024142370,커피차/건강,1
(G)건전지AA4입(알카라인),1000001758046,생활잡화,1
(G)건전지AA4입(알카라인)PL,2000000199610,생활잡화,1
(G)건전지AAA4입(알카라인),1000001758077,생활잡화,1
(G)나무젓가락30입,1000001729657,생활잡화,1
(G)동물코인초콜렛150g,1000001793900,과자,1
(G)면봉200입,2220022352392,생활잡화,1
(G)미니베어구미젤리125g,3608580722656,캔디/초콜릿,1
(G)방향제)화장실400mL(복숭아),4987072081259,일상용품,1
(G)섬유유연제)다우니2.95L,37000425489,생활잡화,1
(G)웜구미젤리125g,3608580722632,캔디/초콜릿,1
(G)이태리콜루시크래커250g,8002590012915,과자,1
(G)치오스틱치즈85g,4000522009532,과자,1
(G)탈취제)냉장실140g,4900480999978,일상용품,1
(G)탈취제)현관/신발장400ML,4987072026243,일상용품,1
(G)파이럿코인초콜렛150g,1000001729381,과자,1
(G)피코크초콜릿샌드위치,2000000780542,과자,1
(G)피코크호떡480g,4710981070638,간편식품,1
(G)해쉬브라운1270g(FF),71179340419,간편식품,1
(G)화장솜222매,2220022220592,생활잡화,1
(X미사용코드)트롤리)초코바나나마쉬멜로150g,4000512015031,캔디/초콜릿,1
(따로밥증정용)요플레)플레인85g,1500000008772,유제품,1
(미사용)하리보)골드베어100g,9002975301558,캔디/초콜릿,1
(미사용)하리보)해피콜라100g,9002975323369,캔디/초콜릿,1
(사전예약)상상)9900전기구이통닭,1500000191887,간편식품,1
(삭제)마시는그릭요거트스타터750ml,8809520491556,유제품,1
(신규점)미용티슈200매(6입),1500000113063,일상용품,1
(신규점)민생미세먼지화이트마스크KF94(1입),1500000113049,일상용품,1
(신규점)베이비물티슈100매,1500000113056,일상용품,1
(앱예약)LG)생활의감동모던라이프(26설),1500000203764,헬스뷰티,1
(앱예약)LG)생활의품격S3호(26설),1500000203771,헬스뷰티,1
(앱예약)LG)샴푸&바디세트프리미엄(26설),1500000203733,헬스뷰티,1
(앱예약)LG)프로폴리스V호(26설),1500000203757,헬스뷰티,1
(앱예약)LG)히말라야핑크솔트프라임(26설),1500000203788,헬스뷰티,1
(앱예약)아임이)4중날면도기세트(면도기+면도날4입),1500000201111,헬스뷰티,1
(앱예약)아임이)일자형치간칫솔0.7mm(26입),1500000201104,헬스뷰티,1
(예약)민생)민생구리봉지면(40입),8809695250842,가공식품,1
(예약)아임이)민생짜장봉지면(40입),8809695250255,가공식품,1
(온장고)기타음료,1500000062712,음료,1
(위)리얼초코스틱딸기요거트1200,8809214400741,캔디/초콜릿,1
(위)리얼초코스틱피넛버터1200,8809214400734,캔디/초콜릿,1
(종료)오뚜기)허니머스타드소스40g,8801045176437,카운터FF,1
(종료)오븐)맵달한마리치킨(자메이카오븐구이)500g(원재료),1500000111700,카운터FF,1
(종료)핫도그)허니머스타드드레싱 12G200입,8801045996605,카운터FF,1
(중단))울)듀오안사과150ml,8801115225591,유제품,1
(중단)서울)듀오안플레인150ml,8801115225614,유제품,1
(증정용)웅진)815콜라캔250ml,1500000102098,음료,1
(품절)존쿡)베스트셀렉션(냉동),8809629908658,간편식품,1
(품절)존쿡)샤퀴테리아세트,8809629908689,간편식품,1
(휴럼)홍삼진액프리미엄50g*24포,8809425103110,커피차/건강,1
01K)에쎄체인지1mg,8801116005314,담배,1
01PK)조선호텔 포기김치4kg,8805588001072,간편식품,1
01프레시지)매콤제육볶음260g,8809558845864,간편식품,1
01홈쿡)두부된장찌개355g,8809142023425,간편식품,1
02K)에쎄체인지4mg,8801116005574,담배,1
02PK)조선호텔 포기김치4kg+총각김치1.5kg,8805588000846,간편식품,1
02프레시지)춘천식양념닭갈비280g,8809558845888,간편식품,1
02홈쿡)순두부찌개613g,8809142024132,간편식품,1
03CJ)소불고기전골610g,8801007994116,간편식품,1
03K)에쎄체인지프로즌,8801116015887,담배,1
03PK)조선호텔 포기김치4kg+열무김치1.5kg,8805588001157,간편식품,1
03프레시지)광양식소불고기261g,8809558845895,간편식품,1
03프레시지)서울식간장닭갈비280g,8809558845901,간편식품,1
03프레시지)신림동백순대볶음591g,8809558842191,간편식품,1
03홈쿡)감자수제비374g,8809142024156,간편식품,1
04K)에쎄체인지그램,8801116021888,담배,1
04종가)깔끔시원김장포기김치9kg,8801052124612,간편식품,1
04종가)중부식김장포기김치10kg,8801024949342,간편식품,1
04홈쿡)월남쌈240g,8809142024118,간편식품,1
05K)에쎄체인지업1mg,8801116007257,담배,1
05종가)전라도김장포기김치10kg,8801024949359,간편식품,1
05종가)전라도김장포기김치9kg,8801052124629,간편식품,1
05프레시지)고래사어묵탕320g,8809558848346,간편식품,1
05프레시지)두부김치키트534.5g,8809810168472,간편식품,1
05홈쿡)비빔생쫄면485g,8809142023784,간편식품,1
06CJ)감바스315g,8801007996936,간편식품,1
06K)에쎄체인지린1mg,8801116008490,담배,1
06종가)총각김치2.3kg,8801024180455,간편식품,1
07K)에쎄체인지빙1mg,8801116010011,담배,1
07종가)돌산갓김치3kg,8801024181001,간편식품,1
07종가)열무김치2.5kg,8801024181247,간편식품,1
07프레시지)도산떡볶이세트510g,8809810168380,간편식품,1
07프레시지)캠핑포차떡도리탕1.14kg,8809810166829,간편식품,1
07홈쿡)버섯소고기전골366g,8809142024163,간편식품,1
07홈쿡)버섯소고기전골366g (사전예약),1500000161644,간편식품,1
08K)에쎄체인지슈팅레드1mg,8801116040360,담배,1
08프레시지)캠핑포차김치우동전골1.49kg,8809810161855,간편식품,1
08홈쿡)샤브샤브모듬채소800g,8809142024125,간편식품,1
09K)에쎄프라임,88011967,담배,1
09올반키친)절임배추20KG,1500000019815,간편식품,1
09종가)파김치2.5kg,8801024945887,간편식품,1
09홈쿡)보글보글부대찌개463g,8809142024149,간편식품,1
10K)에쎄수0.1,8801116001712,담배,1
10올반키친)절임배추10KG,1500000019822,간편식품,1
10종가)깔끔시원김장양념5.5kg(비닐),8801024052646,간편식품,1
10프레시지)베이컨크림리조또630g,8809810168144,간편식품,1
10홈쿡)바지락칼국수310g,8809142024170,간편식품,1
11K)에쎄수,8801116000937,담배,1
11올반키친)양념속5kg,1500000019839,간편식품,1
11종가)전라도김장양념5.5kg(비닐),8801024949373,간편식품,1
11프레시지)부채살페퍼스테이크160g,8809810164955,간편식품,1
12K)에쎄히말라야1mg,8801116013319,담배,1
12SF)올반절임배추10kg,1500000197315,간편식품,1
12프레시지)동경규동275g,8809558845871,간편식품,1
12피코크)전주식콩나물국밥357.7g,8809810164269,간편식품,1
13K)에쎄히말라야윈터1mg,8801116042418,담배,1
13SF)올반절임배추20kg,8809913670001,간편식품,1
13프레시지)명란오일파스타235g,8809750472042,간편식품,1
13프레시지)제주흑돼지묵은지찜460g,8809810161442,간편식품,1
14K)에쎄원1mg,88012087,담배,1
14프레시지)연경간짜장면920g,8809810164573,간편식품,1
14피코크)우삼겹순두부찌개615g,8809558844089,간편식품,1
15K)에쎄이츠딥브라운1mg,8801116025251,담배,1
15프레시지)대한곱창곱창전골1594g,8809558845246,간편식품,1
15프레시지)서울식불고기전골424g,8809558840272,간편식품,1
16K)레종블랙1mg,8801116000913,담배,1
16프레시지)소고기버섯잡채285.5g,8809558840289,간편식품,1
16피코크)원주식장칼국수611g,8809676682747,간편식품,1
17K)레종블루,88011189,담배,1
18K)레종이오니아미스틱퍼플0.1mg,8801116046522,담배,1
18프레시지)트러플크림파스타488g,8809558841460,간편식품,1
19K)레종프렌치블랙3mg,8801116006830,담배,1
19설)신궁전통한과새솔,1500000021030,빵/디저트,1
19추석)루이본클래식다이아목걸이,8806379971956,생활잡화,1
19추석)루이본클래식펄앤골드세트,8806379971994,생활잡화,1
19추석)루이본퓨어화이트귀걸이1+1세트,8806379972076,생활잡화,1
19추석)신궁전통한과(올찬),8804619927619,빵/디저트,1
19프레시지)고깃집된장찌개535g,8809558840678,간편식품,1
1인용접이식방석,8809403442156,생활잡화,1
2019 석교상사 브리지스톤 TOUR B J819 드라이버 골프클럽10.5도R,8801210041713,생활잡화,1
2019 석교상사 브리지스톤 TOUR B J819 드라이버 골프클럽10.5도SR,8801210041812,생활잡화,1
2019 석교상사 브리지스톤 TOUR B J819 드라이버 골프클럽9.5도S,8801210041515,생활잡화,1
2019 석교상사 브리지스톤 TOUR B J819 드라이버 골프클럽9.5도SR,8801210041614,생활잡화,1
2019 오딧세이 레드볼 슈퍼 스트로크 2.0 그립 퍼터,8801210043311,생활잡화,1
2019 오딧세이 엑소 DFX 그립 7번 퍼터 골프클럽33인치,8801210892919,생활잡화,1
2019 오딧세이 엑소 DFX 그립 7번 퍼터 골프클럽34인치,8801210893015,생활잡화,1
2019 핑 G410 ALTA J CB RED 카본 샤프트 드라이버10.5도R,8801210010214,생활잡화,1
2019 핑 G410 ALTA J CB RED 카본 샤프트 드라이버10.5도S,8801210010313,생활잡화,1
2019 핑 G410 ALTA J CB RED 카본 샤프트 드라이버10.5도SR,8801210010412,생활잡화,1
2019 핑 G410 ALTA J CB RED 카본 샤프트 드라이버9도R,8801210010719,생활잡화,1
2019 핑 G410 ALTA J CB RED 카본 샤프트 드라이버9도SR,8801210010818,생활잡화,1
2019 핑 시그마 2 FETCH 플레티넘 말렛 퍼터 골프클럽,8801210016117,생활잡화,1
2019오딧세이스트로크33인치,8801210852913,생활잡화,1
2019오딧세이스트로크34인치,8801210853019,생활잡화,1
2019오딧세이스트로크오버33,8801210056113,생활잡화,1
2019오딧세이스트로크오버34,8801210056212,생활잡화,1
2019혼마베레스ASPEC,8801210014113,생활잡화,1
2023김토끼)딸기샌드파이95g,8809422011227,빵/디저트,1
2023김토끼)슬림티슈(휴대용),8809552340006,일상용품,1
2023김토끼)초코딸기바나나빵40g,8809243174859,빵/디저트,1
2080)3초구강필름(쿨민트),8801046329542,헬스뷰티,1
2080)곰표치약칫솔세트,8801046347157,헬스뷰티,1
2080)그린치약90g,8801046996546,헬스뷰티,1
2080)더블액션칫솔5+5입,8801046305591,헬스뷰티,1
2080)더블케어칫솔(2입),8801046442005,헬스뷰티,1
2080)동의생약순치약90g,8801046310908,헬스뷰티,1
2080)동의청은차진치약90g,8801046263532,헬스뷰티,1
2080)민트치실1입(50M),8801046986660,헬스뷰티,1
2080)바이오후레쉬요거민트치약125g,8801046371794,헬스뷰티,1
2080)불소치실1입(40M),8801046986677,헬스뷰티,1
2080)브레드이발소칫솔3단계(1입),8801046261255,헬스뷰티,1
2080)블루치약90g,8801046996539,헬스뷰티,1
2080)센서티브칫솔(초미세모),8801046405673,헬스뷰티,1
2080)슈퍼클린칫솔,8801046356807,헬스뷰티,1
2080)스마트케어치약90g,8801046311615,헬스뷰티,1
2080)시그니처그린라벨치약90g,8801046310847,헬스뷰티,1
2080)시그니처토탈블루120g*3입(F),8801046310625,헬스뷰티,1
2080)시크릿쥬쥬칫솔3단계(1입),8801046384237,헬스뷰티,1
2080)쏙쏙터치완전미세모4입,8801046283004,헬스뷰티,1
2080)쏙쏙터치이중미세모4입,8801046283011,헬스뷰티,1
2080)애플민트치약110g,8801046315316,헬스뷰티,1
2080)어드밴스블루치약90g,8801046310892,헬스뷰티,1
2080)엑스퍼트차콜칫솔(미세모),8801046375266,헬스뷰티,1
2080)오뚜기3분양치카레향치약120g,8801046372999,헬스뷰티,1
2080)오리지날블루치약50g,8801046986745,헬스뷰티,1
2080)오리지날알파화이트90G,8801046318867,헬스뷰티,1
2080)오리지날알파화이트치약90g,8801046310854,헬스뷰티,1
2080)오리지날화이트치약90g,8801046267028,헬스뷰티,1
2080)오리지널알파화이트90g(해체),8801046313039,헬스뷰티,1
2080)음파진동칫솔,8801046316450,헬스뷰티,1
2080)이지클린칫솔4+4입(이중미세모),8801046430033,헬스뷰티,1
2080)진지발리스K오리지날120g*3입,8801046994399,헬스뷰티,1
2080)진지발리스K진저오일120g*3입,8801046281697,헬스뷰티,1
2080)청은차치약90g,8801046311622,헬스뷰티,1
2080)치약오리지날125g,8801046846087,헬스뷰티,1
2080)치약진지발리스오리지날125g,8801046996799,헬스뷰티,1
2080)치약칫솔세트,8801046832479,헬스뷰티,1
2080)치약칫솔세트(파우치),8801046447116,헬스뷰티,1
2080)칫솔미세모(5+5입),8801046888865,헬스뷰티,1
2080)칫솔센스티브미세모,8801046860458,헬스뷰티,1
2080)칫솔오리지날탄력모,8801046057216,헬스뷰티,1
2080)칫솔진지발리스,8801046240458,헬스뷰티,1
2080)칫솔토탈케어미세모,8801046985779,헬스뷰티,1
2080)컴플리트치약120g*3쿨민트,8801046390641,헬스뷰티,1
2080)컴플리트치약120g*3허브민트,8801046390665,헬스뷰티,1
2080)컴플리트치약치솔세트,8801046364031,헬스뷰티,1
2080)키즈가글250ml딸기맛(브레드),8801046308912,헬스뷰티,1
2080)키즈가글250ml바나나맛(브레드),8801046308929,헬스뷰티,1
2080)토탈소프트칫솔(1입),8801046441848,헬스뷰티,1
2080)토탈케어칫솔탄력모,8801046985755,헬스뷰티,1
2080)토탈케어칫솔탄력모(종료),8801046245903,헬스뷰티,1
2080)퓨어핑크솔트치약120g,8801046311486,헬스뷰티,1
2080)프로나인칫솔(1입),8801046389317,헬스뷰티,1
2080)핑크퐁키즈칫솔2단계(1입),8801046439845,헬스뷰티,1
2080)해죽순소금담은칫솔(1입),8801046441985,헬스뷰티,1
2080)핵불닭호치치약100g,8801046347164,헬스뷰티,1
2080)핵불닭휴대용양치세트,8801046338971,헬스뷰티,1
2080)홀릭치약100g,8801046254776,헬스뷰티,1
