"PLU코드","상품명"
"2220021471995","(G)3단우산(네이비)"
"2220021472015","(G)3단우산(블랙)"
"8935024142370","(G)G7커피믹스*18입"
"1000001758046","(G)건전지AA4입(알카라인)"
"2000000199610","(G)건전지AA4입(알카라인)PL"
"1000001758077","(G)건전지AAA4입(알카라인)"
"1000001729657","(G)나무젓가락30입"
"1000001793900","(G)동물코인초콜렛150g"
"2220022352392","(G)면봉200입"
"3608580722656","(G)미니베어구미젤리125g"
"4987072081259","(G)방향제)화장실400mL(복숭아)"
"37000425489","(G)섬유유연제)다우니2.95L"
"3608580722632","(G)웜구미젤리125g"
"8002590012915","(G)이태리콜루시크래커250g"
"4000522009532","(G)치오스틱치즈85g"
"4900480999978","(G)탈취제)냉장실140g"
"4987072026243","(G)탈취제)현관/신발장400ML"
"1000001729381","(G)파이럿코인초콜렛150g"
"2000000780542","(G)피코크초콜릿샌드위치"
"4710981070638","(G)피코크호떡480g"
"71179340419","(G)해쉬브라운1270g(FF)"
"2220022220592","(G)화장솜222매"
"4000512015031","(X미사용코드)트롤리)초코바나나마쉬멜로150g"
"1500000008772","(따로밥증정용)요플레)플레인85g"
"9002975301558","(미사용)하리보)골드베어100g"
"9002975323369","(미사용)하리보)해피콜라100g"
"1500000191887","(사전예약)상상)9900전기구이통닭"
"8809520491556","(삭제)마시는그릭요거트스타터750ml"
"1500000113063","(신규점)미용티슈200매(6입)"
"1500000113049","(신규점)민생미세먼지화이트마스크KF94(1입)"
"1500000113056","(신규점)베이비물티슈100매"
"1500000203764","(앱예약)LG)생활의감동모던라이프(26설)"
"1500000203771","(앱예약)LG)생활의품격S3호(26설)"
"1500000203733","(앱예약)LG)샴푸&바디세트프리미엄(26설)"
"1500000203757","(앱예약)LG)프로폴리스V호(26설)"
"1500000203788","(앱예약)LG)히말라야핑크솔트프라임(26설)"
"1500000201111","(앱예약)아임이)4중날면도기세트(면도기+면도날4입)"
"1500000201104","(앱예약)아임이)일자형치간칫솔0.7mm(26입)"
"8809695250842","(예약)민생)민생구리봉지면(40입)"
"8809695250255","(예약)아임이)민생짜장봉지면(40입)"
"1500000062712","(온장고)기타음료"
"8809214400741","(위)리얼초코스틱딸기요거트1200"
"8809214400734","(위)리얼초코스틱피넛버터1200"
"8801045176437","(종료)오뚜기)허니머스타드소스40g"
"1500000111700","(종료)오븐)맵달한마리치킨(자메이카오븐구이)500g(원재료)"
"8801045996605","(종료)핫도그)허니머스타드드레싱 12G200입"
"8801115225591","(중단))울)듀오안사과150ml"
"8801115225614","(중단)서울)듀오안플레인150ml"
"1500000102098","(증정용)웅진)815콜라캔250ml"
"8809629908658","(품절)존쿡)베스트셀렉션(냉동)"
"8809629908689","(품절)존쿡)샤퀴테리아세트"
"8809425103110","(휴럼)홍삼진액프리미엄50g*24포"
"8801116005314","01K)에쎄체인지1mg"
"8805588001072","01PK)조선호텔 포기김치4kg"
"8809558845864","01프레시지)매콤제육볶음260g"
"8809142023425","01홈쿡)두부된장찌개355g"
"8801116005574","02K)에쎄체인지4mg"
"8805588000846","02PK)조선호텔 포기김치4kg+총각김치1.5kg"
"8809558845888","02프레시지)춘천식양념닭갈비280g"
"8809142024132","02홈쿡)순두부찌개613g"
"8801007994116","03CJ)소불고기전골610g"
"8801116015887","03K)에쎄체인지프로즌"
"8805588001157","03PK)조선호텔 포기김치4kg+열무김치1.5kg"
"8809558845895","03프레시지)광양식소불고기261g"
"8809558845901","03프레시지)서울식간장닭갈비280g"
"8809558842191","03프레시지)신림동백순대볶음591g"
"8809142024156","03홈쿡)감자수제비374g"
"8801116021888","04K)에쎄체인지그램"
"8801052124612","04종가)깔끔시원김장포기김치9kg"
"8801024949342","04종가)중부식김장포기김치10kg"
"8809142024118","04홈쿡)월남쌈240g"
"8801116007257","05K)에쎄체인지업1mg"
"8801024949359","05종가)전라도김장포기김치10kg"
"8801052124629","05종가)전라도김장포기김치9kg"
"8809558848346","05프레시지)고래사어묵탕320g"
