가격표출력,,,,,,
,,,,,,
,,,,,,
No,PLU코드,상품명,출력여부,대분류,중분류,소분류
1,0016229905736,세방)망고쥬스&코코넛젤리,미출력,가공식품,대용식,가공캔류
2,0016229905743,세방)리치쥬스&코코넛젤리,미출력,가공식품,대용식,가공캔류
3,074880040609,훼밀리)에스비골든즉석카레순한맛,미출력,가공식품,대용식,기타가공식품
4,074880040616,훼밀리)에스비골든즉석카레약간매운맛,미출력,가공식품,대용식,기타가공식품
5,076186700027,삼경)삿뽀로이치방치킨컵라면,미출력,가공식품,면식품,용기면(소)
6,076186700041,삼경)삿뽀로이치방새우컵라면,미출력,가공식품,면식품,용기면(소)
7,077377912670,농심)하우스카리야포크카레180g,미출력,가공식품,대용식,기타가공식품
8,089686170733,래딕스)미고랭봉지면,미출력,가공식품,면식품,봉지면
9,089686171679,래딕스)미고랭매운맛봉지면,미출력,가공식품,면식품,봉지면
10,1500000003265,즉석라면)라면용기,미출력,가공식품,면식품,기타면류
11,1500000015213,파우치참치사이드집기,미출력,가공식품,대용식,가공캔류
12,1500000015244,스팸싱글사이드집기,미출력,가공식품,대용식,가공캔류
13,1500000016982,즉석라면)종이용기(라면조리기전용),미출력,가공식품,면식품,기타면류
14,1500000016999,즉석라면)라면용기500(두레),미출력,가공식품,면식품,기타면류
15,1500000018627,켈로그)컵시리얼진열집기,미출력,가공식품,대용식,시리얼
16,1500000022198,디아)군옥수수진열집기,미출력,가공식품,대용식,기타가공식품
17,1500000022303,동원)양반죽진열집기,미출력,가공식품,대용식,즉석죽
18,1500000024599,롯데)퀘이커진열집기,미출력,가공식품,대용식,기타가공식품
19,1500000117061,동원)라이트스탠다드참치150g*48입,미출력,가공식품,대용식,가공캔류
20,1500000117085,동원)리챔200*24입,미출력,가공식품,대용식,가공캔류
21,1500000142643,오뚜기)맛있는발아흑미밥210g*12입,미출력,가공식품,대용식,즉석밥
22,1500000142667,오뚜기)맛있는오곡밥210g*12입,미출력,가공식품,대용식,즉석밥
23,1500000145866,아임이)얼큰e라면컵(수출23),미출력,가공식품,면식품,용기면(소)
24,1500000146276,아임이)얼큰e라면봉지(수출23),미출력,가공식품,면식품,봉지면
25,1500000146283,아임이)진한e짜장봉지면(수출23),미출력,가공식품,면식품,봉지면
26,1500000184520,CJ기획)개강세트(APP1차),미출력,가공식품,대용식,기타가공식품
27,1500000184537,CJ기획)개강세트(APP2차),미출력,가공식품,대용식,기타가공식품
28,1500000184780,앱예약(이원화)CJ)햇반210G*24입,미출력,가공식품,대용식,즉석밥
29,1500000200572,CJ)햇반미역국밥,미출력,가공식품,대용식,즉석컵밥
30,1500000200596,CJ)햇반사골곰탕국밥,미출력,가공식품,대용식,즉석컵밥
31,1500000200602,CJ)햇반순두부찌개국밥,미출력,가공식품,대용식,즉석컵밥
32,1500000202170,수출_옐로우)백미밥180g,미출력,가공식품,대용식,즉석밥
33,1500000202187,수출_옐로우)백미밥180g*4입,미출력,가공식품,대용식,즉석밥
34,1500000202194,수출_옐로우)마시멜로오곡초코볼,미출력,가공식품,대용식,시리얼
35,1500000202200,수출_옐로우)도시락김5g,미출력,가공식품,대용식,김류
36,1500000202217,수출_옐로우)도시락김5g(20봉),미출력,가공식품,대용식,김류
37,1500000202224,수출_옐로우)히말라야핑크소금김5g,미출력,가공식품,대용식,김류
38,1500000202231,수출_옐로우)히말라야핑크소금김5g(12봉),미출력,가공식품,대용식,김류
39,1500000202248,수출_옐로우)해물멸치맛쌀국수(큰컵),미출력,가공식품,면식품,용기면(대)
40,1500000202255,수출_옐로우)얼큰라면봉지,미출력,가공식품,면식품,봉지면
41,1500000202262,수출_옐로우)얼큰라면봉지번들(5입),미출력,가공식품,면식품,봉지면
42,2000000141183,위)자연산알래스카연어150g,미출력,가공식품,대용식,가공캔류
43,3230140002511,노바)에드몬드홀그레인머스타드병205g,미출력,가공식품,대용식,수입통조림
44,4710088412089,웅진)만한마라우육면큰컵,미출력,가공식품,면식품,용기면(대)
45,4710088412201,웅진)만한홍샤오우육면큰컵,미출력,가공식품,면식품,용기면(대)
46,4710199013298,래딕스)일도찬우육면컵,미출력,가공식품,면식품,용기면(대)
47,4892333302748,선우)헬로키티간장라면33g,미출력,가공식품,면식품,용기면(소)
48,4897878100385,닛신)칠리토마토70g,미출력,가공식품,면식품,용기면(소)
49,4897878230020,닛신)컵누들씨푸드스파이시소컵,미출력,가공식품,면식품,용기면(소)
50,4897878230037,닛신)컵누들씨푸드커리소컵,미출력,가공식품,면식품,용기면(소)
51,4901001021994,농심)보노콘스프3입,미출력,가공식품,대용식,기타가공식품
52,4901001022564,농심)포르치니버섯스프3입,미출력,가공식품,대용식,기타가공식품
53,4901001123094,농심)보노체다치즈스프3입,미출력,가공식품,대용식,기타가공식품
54,4901990510998,삼경)마루짱라면봉지(돼지고기맛)*5입,미출력,가공식품,면식품,봉지면
55,4973288512304,삿포로라멘쇼유,미출력,가공식품,면식품,봉지면
56,4973288523409,삿포로라멘미소,미출력,가공식품,면식품,봉지면
57,4973288534504,삿포로탄멘시오,미출력,가공식품,면식품,봉지면
58,4973288734577,삼경)스나오시미소컵라면,미출력,가공식품,면식품,용기면(소)
59,4976651088734,매크로)후지와라아사히카와간장라면,미출력,가공식품,면식품,봉지면
60,4976651088741,매크로)후지와라삿뽀로미소라면,미출력,가공식품,면식품,봉지면
61,5601010111035,노바)하미레즈올리브오일정어리캔125g(W),미출력,가공식품,대용식,수입통조림
62,5601010114050,노바)코깐느올리브오일훈제향정어리캔125g,미출력,가공식품,대용식,수입통조림
63,5601010124035,노바)코깐느올리브오일고등어휠레캔125g,미출력,가공식품,대용식,수입통조림
64,5601010241015,노바)하미레즈라구소스오징어캔120g(W),미출력,가공식품,대용식,수입통조림
65,5601010251205,노바)하미레즈라구소스한치캔120g,미출력,가공식품,대용식,수입통조림
66,5601010271005,노바)하미레즈라구소스홍합캔111g(W),미출력,가공식품,대용식,수입통조림
67,5601010291034,노바)하미레즈올리브오일갈릭칠리대구캔120g,미출력,가공식품,대용식,수입통조림
68,5601010512207,노바)베르뜨올리브오일정어리캔125g,미출력,가공식품,대용식,수입통조림
69,5601010611931,노바)라로즈올리브오일피클정어리캔125g(W),미출력,가공식품,대용식,수입통조림
70,5601010901018,노바)하미레즈내츄럴워터연어휠레캔110g,미출력,가공식품,대용식,수입통조림
71,648436122530,아임이)민생라면봉지면(수출용),미출력,가공식품,면식품,봉지면
72,6921555529195,진마이랑)탄탄면컵,미출력,가공식품,면식품,기타면류
73,6921555529218,진마이랑)마라탕면큰컵,미출력,가공식품,면식품,용기면(대)
74,6921555571569,진마이랑)시앙라큰컵,미출력,가공식품,면식품,기타면류
75,6921555571866,진마이랑)홍샤오큰컵,미출력,가공식품,면식품,기타면류
76,6937962107048,캉스푸홍소우육향라면,미출력,가공식품,면식품,봉지면
77,6937962115180,캉스푸향라우육향라면,미출력,가공식품,면식품,봉지면
78,6975742474324,CJF)하이디라오마라펀컵,미출력,가공식품,면식품,용기면(소)
79,6976760271575,CJF)하이디라오쏸라펀컵,미출력,가공식품,면식품,용기면(소)
80,6976760271599,CJF)하이디라오마장펀컵,미출력,가공식품,면식품,용기면(소)
81,6977694777379,CJF)하이디라오핵마라펀,미출력,가공식품,면식품,용기면(소)
82,7039010016322,오클라)스타부르고등어캔오리지널,미출력,가공식품,대용식,수입통조림
83,7039010016339,오클라)스타부르고등어캔토마토바질,미출력,가공식품,대용식,수입통조림
84,8000050024676,노바)스타미트볼라구소스소시지병360g,미출력,가공식품,대용식,수입통조림
85,8000828005913,노바)마레타엔쵸비플레티병조림80g(W),미출력,가공식품,대용식,기타가공식품
86,8001310074288,노바)폴리씨없는그린올리브병조림300g(W),미출력,가공식품,대용식,기타가공식품
87,8002171007965,노바)바질페스토병180g,미출력,가공식품,대용식,수입통조림
88,8003508001496,그린카스텔베트라노올리브300g,미출력,가공식품,대용식,기타가공식품
89,8004030022010,노바)리오마레참치샐러드옥수수캔160g(W),미출력,가공식품,대용식,수입통조림
