가격표출력,,,,,,
,,,,,,
,,,,,,
No,PLU코드,상품명,출력여부,대분류,중분류,소분류
1,8806079694858,슈퍼키친)새우해파리냉채,미출력,간편식품,냉장식재,슈퍼키친(밑반찬)
2,8809781510058,슈퍼키친)애호박볶음,미출력,간편식품,냉장식재,슈퍼키친(밑반찬)
3,8809781510102,슈퍼키친)어묵볶음,미출력,간편식품,냉장식재,슈퍼키친(밑반찬)
4,8809781510133,슈퍼키친)느타리버섯볶음,미출력,간편식품,냉장식재,슈퍼키친(밑반찬)
5,8809781510140,슈퍼키친)순한진미채볶음,미출력,간편식품,냉장식재,슈퍼키친(밑반찬)
6,8809781510263,슈퍼키친)매쉬드포테이토,미출력,간편식품,냉장식재,슈퍼키친(밑반찬)
7,8809781510294,슈퍼키친)나물3종,미출력,간편식품,냉장식재,슈퍼키친(밑반찬)
8,8809781510331,슈퍼키친)한끼카레,미출력,간편식품,냉장식재,슈퍼키친(밑반찬)
9,8809781510355,슈퍼키친)한끼짜장,미출력,간편식품,냉장식재,슈퍼키친(밑반찬)
10,8809781510522,슈퍼키친)떡잡채,미출력,간편식품,냉장식재,슈퍼키친(밑반찬)
11,8809781510546,슈퍼키친)치즈오븐파스타,미출력,간편식품,냉장식재,슈퍼키친(밑반찬)
12,8809781511017,슈퍼키친)콩비지찌개,미출력,간편식품,냉장식재,슈퍼키친(밑반찬)
13,8809781511550,슈퍼키친)가지나물,미출력,간편식품,냉장식재,슈퍼키친(밑반찬)
14,8809781512137,슈퍼키친)시골배추국,미출력,간편식품,냉장식재,슈퍼키친(밑반찬)
15,8809781512380,슈퍼키친)어향가지,미출력,간편식품,냉장식재,슈퍼키친(밑반찬)
16,8809781512540,슈퍼키친)황태계란국,미출력,간편식품,냉장식재,슈퍼키친(밑반찬)
17,8809781513301,슈퍼키친)서울식소불고기,미출력,간편식품,냉장식재,슈퍼키친(밑반찬)
18,8809781513318,슈퍼키친)들기름묵은지볶음,미출력,간편식품,냉장식재,슈퍼키친(밑반찬)
19,8809781513899,슈퍼키친)미역줄기볶음,미출력,간편식품,냉장식재,슈퍼키친(밑반찬)
20,8809781514117,슈퍼키친)비엔나소시지야채볶음,미출력,간편식품,냉장식재,슈퍼키친(밑반찬)
21,8809781514124,슈퍼키친)맑은소고기무국,미출력,간편식품,냉장식재,슈퍼키친(밑반찬)
22,8809781514438,슈퍼키친)사천식마파두부,미출력,간편식품,냉장식재,슈퍼키친(밑반찬)
23,8809781514582,슈퍼키친)도라지오이무침,미출력,간편식품,냉장식재,슈퍼키친(밑반찬)
24,8809781514599,슈퍼키친)한식잡채,미출력,간편식품,냉장식재,슈퍼키친(밑반찬)
25,8809781515473,슈퍼키친)진미채볶음20g,미출력,간편식품,냉장식재,슈퍼키친(밑반찬)
26,8809781515480,슈퍼키친)멸치볶음20g,미출력,간편식품,냉장식재,슈퍼키친(밑반찬)
27,8809781515497,슈퍼키친)건새우볶음25g,미출력,간편식품,냉장식재,슈퍼키친(밑반찬)
28,8809781515503,슈퍼키친)황태채고추장볶음20g,미출력,간편식품,냉장식재,슈퍼키친(밑반찬)
29,8809781515701,슈퍼키친)짜파게티맥앤치즈50g,미출력,간편식품,냉장식재,슈퍼키친(밑반찬)
