가격표출력,,,,,,
,,,,,,
,,,,,,
No,PLU코드,상품명,출력여부,대분류,중분류,소분류
1,0071179340419,(G)해쉬브라운1270g(FF),미출력,간편식품,냉동식재,기타냉동식재
2,077782024173,쟌슨빌)베다체다소시지360g,미출력,간편식품,냉장편의식,가공육/햄
3,077782024340,쟌슨빌)스모크소시지360g,미출력,간편식품,냉장편의식,가공육/햄
4,1500000018610,쟌슨빌)선물세트2호,미출력,간편식품,냉장식재,냉장선물세트
5,1500000019815,09올반키친)절임배추20KG,미출력,간편식품,냉장식재,냉장선물세트
6,1500000019822,10올반키친)절임배추10KG,미출력,간편식품,냉장식재,냉장선물세트
7,1500000019839,11올반키친)양념속5kg,미출력,간편식품,냉장식재,냉장선물세트
8,1500000063146,황진담)김장세트(배추6kg+양념3kg),미출력,간편식품,냉장식재,냉장선물세트
9,1500000064280,올반)한상차림선물세트,미출력,간편식품,냉장식재,냉장선물세트
10,1500000113797,CJ)비비고RIF주먹밥진열대,미출력,간편식품,냉동편의식,냉동식사
11,1500000115340,조선호텔)프리미엄김치 타이니세트,미출력,간편식품,냉장식재,냉장선물세트
12,1500000115364,조선호텔)프리미엄김치 스타세트,미출력,간편식품,냉장식재,냉장선물세트
13,1500000119171,프레시지)홈파티밀키트3종세트_무료택배,미출력,간편식품,냉장식재,냉장선물세트
14,1500000119935,아임이)가메골고기왕만두170g(TV쇼핑),미출력,간편식품,냉동식재,냉동만두
15,1500000119942,아임이)가메골김치왕만두170g(TV쇼핑),미출력,간편식품,냉동식재,냉동만두
16,1500000119959,아임이)가메골반반왕만두170g(TV쇼핑),미출력,간편식품,냉동식재,냉동만두
17,1500000120207,아임이)못생긴아이스군고구마180g(TV쇼핑),미출력,간편식품,냉동식재,기타냉동식재
18,1500000126278,프레시지)한식대전세트,미출력,간편식품,냉장식재,냉장선물세트
19,1500000126285,프레시지)블랙라벨홈파티세트,미출력,간편식품,냉장식재,냉장선물세트
20,1500000126292,프레시지)홈술안주세트,미출력,간편식품,냉장식재,냉장선물세트
21,1500000126322,롯데)뜨끈한국물세트,미출력,간편식품,냉장식재,냉장선물세트
22,1500000126339,롯데)온가족세트,미출력,간편식품,냉장식재,냉장선물세트
23,1500000127961,273맛집)레알해장라면132g (사전예약),미출력,간편식품,냉장식재,냉장식사
24,1500000128043,프레시지)차돌박이숙주볶음421g (사전예약),미출력,간편식품,냉장식재,냉장밀키트
25,1500000128067,프레시지)대한곱창곱창전골1594g (사전예약),미출력,간편식품,냉장식재,냉장밀키트
26,1500000128074,20프레시지)볼로네제라구파스타647g (사전예약),미출력,간편식품,냉장식재,냉장밀키트
27,1500000128081,프레시지)호로록로제떡볶이796g (사전예약),미출력,간편식품,냉장식재,냉장밀키트
28,1500000128098,프레시지)소고기야끼소바407.7g (사전예약),미출력,간편식품,냉장식재,냉장밀키트
29,1500000128197,273맛집)고기떡볶이450g (사전예약),미출력,간편식품,냉장편의식,냉장분식
30,1500000128654,피코크)대구식파육개장829g (사전예약),미출력,간편식품,냉장식재,냉장밀키트
31,1500000128661,피코크)돈마호크스테이크629g (사전예약),미출력,간편식품,냉장식재,냉장밀키트
32,1500000128678,피코크)밀푀유나베845g (사전예약),미출력,간편식품,냉장식재,냉장밀키트
