가격표출력,,,,,,
,,,,,,
,,,,,,
No,PLU코드,상품명,출력여부,대분류,중분류,소분류
1,0076150232271,액트투)전자렌지용팝콘(버터맛)234g,미출력,과자,수입과자,기타수입과자
2,009800800056,매일)누텔라앤고52g(12),미출력,과자,수입과자,수입쿠키파이
3,014100074120,페퍼리지팜)밀라노170g,미출력,과자,수입과자,수입쿠키파이
4,014100074649,페퍼리지팜)베로나스트로베리쿠키191g,미출력,과자,수입과자,수입쿠키파이
5,014100074724,페퍼리지팜)더블초코밀라노213g,미출력,과자,수입과자,수입쿠키파이
6,014100077138,페퍼리지팜)초콜릿천크난투켓204g,미출력,과자,수입과자,수입쿠키파이
7,014100077961,페퍼리지팜)미니밀라노34g,미출력,과자,수입과자,수입쿠키파이
8,014100085478,페퍼리지팜)골드피쉬체다187g,미출력,과자,수입과자,수입쿠키파이
9,014100087830,페퍼리지팜)피롯데헤이즐럿초콜릿롤382g,미출력,과자,수입과자,수입쿠키파이
10,014100093626,페퍼리지팜)골드피쉬스모어187g,미출력,과자,수입과자,수입쿠키파이
11,024100577163,E24)켈로그치즈잇스낵믹스127g(S),미출력,과자,수입과자,수입스낵
12,028400017145,매크로)레이즈클래식감자칩,미출력,과자,수입과자,수입스낵
13,028400017206,프리토스)오리지날콘칩311g,미출력,과자,수입과자,수입스낵
14,028400017404,매크로)썬칩프렌치어니언맛통곡물스낵,미출력,과자,수입과자,수입스낵
15,028400017503,매크로)레이즈솔트&비네거감자칩184g,미출력,과자,수입과자,수입스낵
16,028400018432,토스티토스)스쿱또띨라칩283.5g,미출력,과자,수입과자,수입스낵
17,028400034036,프리토스)허니바비큐283g,미출력,과자,수입과자,수입스낵
18,034000214600,허쉬)프레첼밀크120g,미출력,과자,수입과자,기타수입과자
19,034000214617,리세스)딥피드프리첼120g,미출력,과자,수입과자,기타수입과자
20,034000214624,허쉬)프레첼쿠키앤크림120g,미출력,과자,수입과자,기타수입과자
21,038000219474,E24)켈로그콘팝27g(S),미출력,과자,수입과자,수입스낵
22,038000765414,e)켈로그라이스크리스피오리지널37g(S),미출력,과자,수입과자,기타수입과자
23,038000768415,e)켈로그라이스크리스피더블초콜렛37g(S),미출력,과자,수입과자,기타수입과자
24,039047001169,워커스)오리지날쿠키40g(12),미출력,과자,수입과자,수입쿠키파이
25,039047001312,워커스)트라이앵글비스켓150g,미출력,과자,수입과자,수입쿠키파이
26,039047001763,워커스)하이랜더쿠키40g,미출력,과자,수입과자,수입쿠키파이
27,039047050105,워커스)오트&크랜베리비스켓150g,미출력,과자,수입과자,수입쿠키파이
28,039047050730,워커스)벨지안초콜릿청크비스켓150g,미출력,과자,수입과자,수입쿠키파이
29,041186000415,델리팜)앤디스민트초콜릿132g,미출력,과자,수입과자,기타수입과자
30,041186001573,델리팜)앤디스토피크런치132g,미출력,과자,수입과자,기타수입과자
31,045764273321,키)카라멜향팝콘4800(24),미출력,과자,스낵,옥수수스낵
32,051325114880,SF)콘토스칠리치즈맛70g(60),미출력,과자,스낵,옥수수스낵
33,070851080513,아미고)나쵸칩454g,미출력,과자,수입과자,수입스낵
34,071873228259,하와이안호스트)티키56g,미출력,과자,수입과자,기타수입과자
35,0728229123453,테라칩오리지널28g,미출력,과자,수입과자,수입스낵
36,076677100145,E24)페이머스아모스56g(S),미출력,과자,수입과자,수입쿠키파이
37,076808002454,바릴라)물리노비앙코쿠오리치니(하트),미출력,과자,수입과자,수입쿠키파이
38,076808002461,바릴라)물리노비앙코판디스스텔라(별),미출력,과자,수입과자,수입쿠키파이
39,076808007343,바릴라)물리노비앙코스피라티토마토200g,미출력,과자,수입과자,수입쿠키파이
40,076808007350,바릴라)물리노비앙코스피라티올리브200g,미출력,과자,수입과자,수입쿠키파이
41,077975092651,크라운)프레츨허니머스타드어니언57g(10),미출력,과자,쿠키파이,쿠키
42,077975092668,크라운)프레츨체다치즈57g(10),미출력,과자,쿠키파이,쿠키
43,0810253011681,람베르츠)크리스마스콜렉션500g,미출력,과자,수입과자,수입쿠키파이
44,0810253012282,람베르츠)익스퀴지트200g,미출력,과자,수입과자,수입쿠키파이
45,0814109021343,쿠키팝)오레오팝콘149g,미출력,과자,수입과자,수입스낵
46,0814109021374,캔디팝)엠엔엠즈팝콘149g,미출력,과자,수입과자,수입스낵
47,1000001729381,(G)파이럿코인초콜렛150g,미출력,과자,수입과자,기타수입과자
48,1000001793900,(G)동물코인초콜렛150g,미출력,과자,수입과자,기타수입과자
49,1200108000080,매크로)레이즈스택스오리지날105g,미출력,과자,수입과자,수입스낵
50,1200108000127,매크로)레이즈스택스사워크림&어니언105g,미출력,과자,수입과자,수입스낵
51,1200108002626,매크로)레이즈트러플감자칩170g,미출력,과자,수입과자,수입스낵
52,1200108002664,매크로)레이즈씨위드감자칩170g,미출력,과자,수입과자,수입스낵
53,1200108003470,매크로)레이즈마라맛감자칩170g,미출력,과자,수입과자,수입스낵
54,1500000018252,SPAR)버터팝콘(낱개),미출력,과자,수입과자,기타수입과자
55,1500000018641,롯데)초코빼빼로54g(예약용),미출력,과자,쿠키파이,스틱과자
56,1500000018658,롯데)아몬드빼빼로37g(예약용),미출력,과자,쿠키파이,스틱과자
57,1500000018665,롯데)누드빼빼로50g(예약용),미출력,과자,쿠키파이,스틱과자
58,1500000018689,해태)포키극세1500(예약용),미출력,과자,쿠키파이,스틱과자
59,1500000019228,멀티)미니스낵헤이즐넛크림75g(1+1),미출력,과자,수입과자,수입쿠키파이
60,1500000019235,멀티)로아커웨하스카카오(1+1),미출력,과자,수입과자,수입쿠키파이
61,1500000022266,오리온)치킨팝진열대,미출력,과자,쿠키파이,비스켓행사(빼빼로)
62,1500000023331,해태)자가비3종진열대(19년),미출력,과자,쿠키파이,비스켓행사(빼빼로)
63,1500000024741,해태)신당동떡볶이마라맛진열대,미출력,과자,쿠키파이,비스켓행사(빼빼로)
64,1500000117054,오리온)오징어땅콩16입(박스),미출력,과자,스낵,일반스낵
65,1500000126957,민생)감자칩사워크림&어니언45g(박스형APP예약),미출력,과자,스낵,감자스낵
