가격표출력,,,,,,
,,,,,,
,,,,,,
No,PLU코드,상품명,출력여부,대분류,중분류,소분류
1,01239730,살렘라이트,미출력,담배,수입담배,JTI일반담배
2,019962471520,츄리)츄리)블랙캣전자담배(타바코),미출력,담배,전자담배디바이스,액상형전자담배
3,019962471629,츄리)츄리)블랙캣전자담배(그린),미출력,담배,전자담배디바이스,액상형전자담배
4,025900215965,츄리)블랙스톤레드,미출력,담배,수입담배,기타수입담배
5,047995200114,내츄럴아메리칸스피릿6mg,미출력,담배,수입담배,JTI일반담배
6,047995200145,내츄럴아메리칸스피릿3mg,미출력,담배,수입담배,JTI일반담배
7,076622870130,츄리)쿼럼리틀큐,미출력,담배,수입담배,기타수입담배
8,0819913018749,쥴)디바이스키트(슬레이트),미출력,담배,전자담배디바이스,액상형전자담배
9,0819913018763,쥴)디바이스키트(실버),미출력,담배,전자담배디바이스,액상형전자담배
10,0819913018787,쥴)USB충전도크,미출력,담배,전자담배디바이스,액상형전자담배
11,0840048200297,쥴)팟(트로피컬),미출력,담배,전자담배디바이스,액상형전자담배
12,0840048200327,쥴)팟(클래식),미출력,담배,전자담배디바이스,액상형전자담배
13,0840048200358,쥴)팟(프레쉬),미출력,담배,전자담배디바이스,액상형전자담배
14,0840048200389,쥴)팟(딜라이트),미출력,담배,전자담배디바이스,액상형전자담배
15,0840048200419,쥴)팟(크리스프),미출력,담배,전자담배디바이스,액상형전자담배
16,0840048206633,쥴)디바이스키트(루비),미출력,담배,전자담배디바이스,액상형전자담배
17,1500000003165,츄리)아메리칸스피릿진열대,미출력,담배,전자담배디바이스,기타소모품
18,1500000004507,츄리)츄리온더쇼어)시가세트,미출력,담배,수입담배,기타수입담배
19,1500000197001,K)(액상카트리지)*3입_스마트자판기용,미출력,담배,국산담배,KTG전자담배
20,4012922835048,바스도프레드,미출력,담배,수입담배,기타수입담배
21,4032900000053,카멜필터커브보루,미출력,담배,수입담배,JTI일반담배
22,4032900000084,카멜블루5m보루,미출력,담배,수입담배,JTI일반담배
23,4032900001784,카멜슈퍼라이트커브보루,미출력,담배,수입담배,JTI일반담배
24,40329055,J)카멜필터커브8m,미출력,담배,수입담배,JTI일반담배
25,40329086,J)카멜블루5mg,미출력,담배,수입담배,JTI일반담배
26,40329178,카멜슈퍼라이트커브3m,미출력,담배,수입담배,JTI일반담배
27,4033100008740,윈스톤XS수퍼슬림원보루,미출력,담배,수입담배,JTI일반담배
28,4033100034206,메비우스이스타일6,미출력,담배,수입담배,JTI일반담배
29,4033100034213,메비우스이스타일6보루,미출력,담배,수입담배,JTI일반담배
30,4033100034237,메비우스이스타일3,미출력,담배,수입담배,JTI일반담배
31,4033100034244,메비우스이스타일3보루,미출력,담배,수입담배,JTI일반담배
32,4033100037672,윈스톤엑스스타일라이트,미출력,담배,수입담배,JTI일반담배
33,4033100037689,윈스톤엑스스타일라이트보루,미출력,담배,수입담배,JTI일반담배
34,4033100042089,메비우스LSS에보3,미출력,담배,수입담배,JTI일반담배
35,4033100042096,메비우스LSS에보3보루,미출력,담배,수입담배,JTI일반담배
36,4033100051500,카멜더블아이스레드,미출력,담배,수입담배,JTI일반담배
37,4033100051517,카멜더블아이스레드보루,미출력,담배,수입담배,JTI일반담배
38,4033100053801,메비우스옵션2퍼플6mg,미출력,담배,수입담배,JTI일반담배
39,4033100053818,메비우스옵션2퍼플6mg보루,미출력,담배,수입담배,JTI일반담배
40,42139171,윈스톤엑스에스슈퍼스림1mg,미출력,담배,수입담배,JTI일반담배
