가격표출력,,,,,,
,,,,,,
,,,,,,
No,PLU코드,상품명,출력여부,대분류,중분류,소분류
1,1500000100858,SF)간장불고기덮밥2편(특판용)테스트,미출력,밥류,도시락,주문도시락
2,1500000100865,SF)뉴참치마요덮밥2편(특판용)테스트,미출력,밥류,도시락,주문도시락
3,1500000100889,SF)에그스크램블덮밥2편(특판용)테스트,미출력,밥류,도시락,주문도시락
4,1500000100896,SF)일품한식반상시즌2-2편(특판용)테스트(중단),미출력,밥류,도시락,주문도시락
5,1500000100902,SF)스팸&치킨도시락2편(특판용)테스트,미출력,밥류,도시락,주문도시락
6,1500000100919,SF)치즈김치볶음밥2편(특판용)테스트,미출력,밥류,도시락,주문도시락
7,1500000100926,대정)치즈오므라이스2편(특판용)테스트,미출력,밥류,도시락,주문도시락
8,1500000100933,대정)응원합니닭도시락2편(특판용)테스트,미출력,밥류,도시락,주문도시락
9,1500000100957,대정)반반고기정찬2편(특판용)테스트,미출력,밥류,도시락,주문도시락
10,1500000100964,대정)비타민채봄비빔밥2편(특판용)테스트,미출력,밥류,도시락,주문도시락
11,1500000100988,대정)김치짜글이덮밥2편(특판용)테스트,미출력,밥류,도시락,주문도시락
12,1500000100995,SF)매콤닭갈비&돈까스도시락2편(특판용)테스트(중단),미출력,밥류,도시락,주문도시락
13,1500000101008,SF)올뉴기찬도시락2편(특)테스트코드-미입,미출력,밥류,도시락,주문도시락
14,1500000101015,대정)정성가득제육정찬2편(특)테스트코드,미출력,밥류,도시락,주문도시락
15,1500000101039,대정)따닥불고기도시락2편(특판)테스트코드,미출력,밥류,도시락,주문도시락
16,1500000101459,SF)일품한식반상시즌2-1편(특판용)테스트(중단),미출력,밥류,도시락,주문도시락
17,1500000101466,SF)스팸&치킨도시락1편(특판용)테스트,미출력,밥류,도시락,주문도시락
18,1500000101473,SF)매콤오리불고기정찬1편(특판용)테스트,미출력,밥류,도시락,주문도시락
19,1500000103071,SF)에그스크램블덮밥1편(특판용)테스트,미출력,밥류,도시락,주문도시락
20,1500000103088,SF)매콤닭갈비&돈까스도시락1편(특판용)테스트(중단),미출력,밥류,도시락,주문도시락
21,1500000103095,SF)매콤오리불고기정찬2편(특판용)테스트,미출력,밥류,도시락,주문도시락
22,1500000103118,대정)스팸&계란말이도시락2편(특판용)테스트,미출력,밥류,도시락,주문도시락
23,1500000104818,현대)간장불고기덮밥2편(물류테스트),미출력,밥류,도시락,주문도시락
24,1500000104832,현대)뉴참치마요덮밥2편(사전결제),미출력,밥류,도시락,주문도시락
25,1500000104856,현대)매콤닭갈비&돈까스도시락2편(사전결제)(중단),미출력,밥류,도시락,주문도시락
26,1500000104894,현대)매콤오리불고기정찬2편(물류테스트),미출력,밥류,도시락,주문도시락
27,1500000104931,현대)에그스크램블덮밥2편(물류특판),미출력,밥류,도시락,주문도시락
28,1500000104955,현대)올뉴기찬도시락2편(사전결제),미출력,밥류,도시락,주문도시락
