가격표출력,,,,,,
,,,,,,
,,,,,,
No,PLU코드,상품명,출력여부,대분류,중분류,소분류
1,0000001454918,SF)더부드러운갈릭크로아상40g,미출력,빵/디저트,프리미엄빵,후레쉬베이커리
2,1500000013356,SF)체리치즈케익20000(예약상품),미출력,빵/디저트,빵,선물세트/케익
3,1500000013363,SF)고구마케익22000(예약상품),미출력,빵/디저트,빵,선물세트/케익
4,1500000013370,SF)중화짜장찐빵4입(냉동),미출력,빵/디저트,빵,호빵/떡/전통한과/기타
5,1500000013387,SF)매콤제육찐빵4입(냉동),미출력,빵/디저트,빵,호빵/떡/전통한과/기타
6,1500000013394,SF)양념갈비찐빵4입(냉동),미출력,빵/디저트,빵,호빵/떡/전통한과/기타
7,1500000016234,SF)달콤레드벨벳케익(냉동),미출력,빵/디저트,디저트,디저트케익류
8,1500000016241,SF)달콤블랙벨벳케익(냉동),미출력,빵/디저트,디저트,디저트케익류
9,1500000016258,SF)티라미수조각케익(냉동),미출력,빵/디저트,디저트,디저트케익류
10,1500000016265,SF)호두타르트(냉동),미출력,빵/디저트,디저트,디저트케익류
11,1500000018887,삼립)통단팥호빵,미출력,빵/디저트,빵,호빵/떡/전통한과/기타
12,1500000018894,삼립)야채호빵,미출력,빵/디저트,빵,호빵/떡/전통한과/기타
13,1500000018900,삼립)피자호빵,미출력,빵/디저트,빵,호빵/떡/전통한과/기타
14,1500000019167,삼립)호빵찜기,미출력,빵/디저트,빵,호빵/떡/전통한과/기타
15,1500000019976,SF)스노우딸기생크림(예약발주),미출력,빵/디저트,빵,선물세트/케익
16,1500000019990,SF)스노우산타고구마(예약발주),미출력,빵/디저트,빵,선물세트/케익
17,1500000021030,19설)신궁전통한과새솔,미출력,빵/디저트,빵,선물세트/케익
18,1500000023874,크림바바)크림빵2500,미출력,빵/디저트,디저트,디저트기타
19,1500000060138,삼립)통단팥호빵(19년),미출력,빵/디저트,빵,호빵/떡/전통한과/기타
20,1500000060145,삼립)야채호빵(19년),미출력,빵/디저트,빵,호빵/떡/전통한과/기타
21,1500000060152,삼립)피자호빵(19년),미출력,빵/디저트,빵,호빵/떡/전통한과/기타
22,1500000060169,삼립)떡방아호빵(신),미출력,빵/디저트,빵,호빵/떡/전통한과/기타
23,1500000063641,롯데)눈꽃(생크림)케익(19년예약발주),미출력,빵/디저트,빵,선물세트/케익
24,1500000063658,롯데)레인보우케익(19년예약발주),미출력,빵/디저트,빵,선물세트/케익
25,1500000063665,롯데)초코케익(19년예약발주),미출력,빵/디저트,빵,선물세트/케익
26,1500000063672,SF)스노우티라미슈케익(19년예약발주),미출력,빵/디저트,빵,선물세트/케익
27,1500000105549,삼립)통단팥호빵(20년),미출력,빵/디저트,빵,호빵/떡/전통한과/기타
