가격표출력,,,,,,
,,,,,,
,,,,,,
No,PLU코드,상품명,출력여부,대분류,중분류,소분류
1,0041689100032,지포)7번(200),미출력,생활잡화,생활용품,라이터/가스
2,0041689106003,지포)1번(250),미출력,생활잡화,생활용품,라이터/가스
3,0041689110345,지포)3번(1941),미출력,생활잡화,생활용품,라이터/가스
4,0041689113452,지포)2번(233),미출력,생활잡화,생활용품,라이터/가스
5,0192737003574,코오롱)상록수패턴양말_그린FW,미출력,생활잡화,의류잡화,패션용품
6,0192737003581,코오롱)상록수빅로고양말_아이보리FW ,미출력,생활잡화,의류잡화,패션용품
7,0192737003598,코오롱)상록수빅로고양말_옐로우FW,미출력,생활잡화,의류잡화,패션용품
8,0192737003604,코오롱)상록수패턴반다나2개입_아이보리&오렌지FW,미출력,생활잡화,의류잡화,패션용품
9,0192737003611,코오롱)상록수패턴반다나2개입_옐로우&그린FW,미출력,생활잡화,의류잡화,패션용품
10,0192737003628,코오롱)상록수로고베이직비니_오렌지FW,미출력,생활잡화,의류잡화,패션용품
11,0192737003635,코오롱)상록수로고베이직비니_아이보리FW,미출력,생활잡화,의류잡화,패션용품
12,0192737003642,코오롱)상록수로고베이직비니_옐로우FW,미출력,생활잡화,의류잡화,패션용품
13,0192737003659,코오롱)상록수로고베이직비니_그린FW,미출력,생활잡화,의류잡화,패션용품
14,0192737003666,코오롱)상록수로고법랑컵FW,미출력,생활잡화,의류잡화,패션용품
15,0192737003673,코오롱)소프트펭귄인형오스키FW,미출력,생활잡화,의류잡화,패션용품
16,0192737003680,코오롱)젤리파우치_패턴로고FW,미출력,생활잡화,의류잡화,패션용품
17,0192737003697,코오롱)젤리파우치_코오롱스포츠로고FW,미출력,생활잡화,의류잡화,패션용품
18,0192737003703,코오롱)샐러드백2개입FW,미출력,생활잡화,의류잡화,패션용품
19,0192737003710,코오롱)패션용품콜라보집기FW,미출력,생활잡화,의류잡화,패션용품
20,0192737003727,코오롱)상록수패턴양말_아이보리FW,미출력,생활잡화,의류잡화,패션용품
21,033200000228,유한)암앤해머내츄럴쉐이커베이킹소다400g,미출력,생활잡화,생활용품,세제류
22,033200016601,암앤해머)내츄럴쉐이커340g,미출력,생활잡화,생활용품,세제류
23,033200093305,유한)암앤해머세탁세제2.21L,미출력,생활잡화,생활용품,세제류
24,033200099901,유한)암앤해머세탁세제클린버스트1.47L,미출력,생활잡화,생활용품,세제류
25,037000425489,(G)섬유유연제)다우니2.95L,미출력,생활잡화,생활용품,세제류
26,041689200657,지포)라이터돌6입,미출력,생활잡화,생활용품,라이터/가스
27,041689300494,지포)오일캔133ml,미출력,생활잡화,생활용품,라이터/가스
28,0810044130782,오류스크럽대디)마이크로파이버타올2P,미출력,생활잡화,생활용품,주방/욕실용품
29,0810044131000,오류스크럽대디)디쉬대디클리닝스틱리필2P,미출력,생활잡화,생활용품,주방/욕실용품
30,0810044131833,오류스크럽대디)디쉬대디클리닝스틱1P,미출력,생활잡화,생활용품,주방/욕실용품
31,0810044135947,오류스크럽대디)댐프더스터1P,미출력,생활잡화,생활용품,주방/욕실용품
32,0810044139730,오류스크럽대디)선물세트,미출력,생활잡화,생활용품,주방/욕실용품
