가격표출력,,,,,,
,,,,,,
,,,,,,
No,PLU코드,상품명,출력여부,대분류,중분류,소분류
1,030900004457,제니코)스모크스트링치즈24g,미출력,유제품,유가공품,일반치즈
2,030900005478,스쿨초이스)라이트스트링치즈,미출력,유제품,유가공품,일반치즈
3,030900006390,스쿨초이스)트위스트스트링치즈,미출력,유제품,유가공품,일반치즈
4,030900010533,제니코)할라피뇨스트링치즈24g,미출력,유제품,유가공품,일반치즈
5,030900010991,제니코)플레인스트링치즈24g,미출력,유제품,유가공품,일반치즈
6,030900011493,제니코)라이트스트링치즈24g,미출력,유제품,유가공품,일반치즈
7,030900361352,스쿨초이스)플레인스트링치즈,미출력,유제품,유가공품,일반치즈
8,071078700000,제니코)본가드체다스틱치즈28g,미출력,유제품,유가공품,수입치즈
9,071078700109,제니코)본가드마블잭스틱치즈28g,미출력,유제품,유가공품,수입치즈
10,1500000003129,남양)요구르트65ml,미출력,유제품,발효유,요구르트
11,1500000008772,(따로밥증정용)요플레)플레인85g,미출력,유제품,발효유,떠먹는요거트
12,1500000019204,멀티)콜드비타민플러스오렌지펫240ml(1+1),미출력,유제품,냉장주스,과채주스
13,1500000021290,22년추석구르메)유러피안치즈세트,미출력,유제품,유가공품,기타유가공품
14,1500000024709,제니코)아크릴집기(치즈진열용),미출력,유제품,유가공품,일반치즈
15,1500000064204,22년추석구르메)홈파티치즈세트,미출력,유제품,유가공품,기타유가공품
16,1500000065409,매일)바리스타에스프레소라떼컵250ml*10입,미출력,유제품,냉장커피,냉장커피(컵/소)
17,1500000065416,매일)바리스타카라멜딥프레소컵250ml*10입,미출력,유제품,냉장커피,냉장커피(컵/소)
18,1500000065423,매일)바리스타모카프레소컵250ml*10입,미출력,유제품,냉장커피,냉장커피(컵/소)
19,1500000065454,매일)검은콩두유190ml*24입,미출력,유제품,우유,가공유
20,1500000065720,제니코)종이RRP(올리브진열용),미출력,유제품,유가공품,기타유가공품
21,1500000150624,23추석YOZM)그릭요거트콩포트세트,미출력,유제품,발효유,떠먹는요거트
22,1500000150631,23추석YOZM)그릭요거트멀티세트,미출력,유제품,발효유,떠먹는요거트
23,1500000191832,정식품)베지밀검은콩아몬드호두팩190ml(공박스),미출력,유제품,단백질음료,두유
24,1500000202613,수출_옐로우)단에이드500ml,미출력,유제품,냉장주스,과채주스
25,1500000202620,수출_ 옐로우)신에이드500ml,미출력,유제품,냉장주스,과채주스
26,1500000202637,수출_옐로우)쓴커피500ml,미출력,유제품,냉장커피,냉장커피(펫)
27,1500000202644,수출_옐로우)단커피500ml,미출력,유제품,냉장커피,냉장커피(펫)
28,1500000202651,수출_옐로우)향커피500ml,미출력,유제품,냉장커피,냉장커피(펫)
29,1500000202668,수출_옐로우)짠커피500ml,미출력,유제품,냉장커피,냉장커피(펫)
30,1880112102571,미사용)검은콩두유190ml*24입,미출력,유제품,단백질음료,두유
31,1880112110793,미사용)바리스타스모키로스팅라떼*10입,미출력,유제품,냉장커피,냉장커피(컵/소)
32,1880112176182,미사용)바리스타로슈거에스프레소*10입,미출력,유제품,냉장커피,냉장커피(컵/소)
33,3073780821155,소와나무)치즈디퍼즈오리지널35g,미출력,유제품,유가공품,일반치즈
34,3073780886840,빙그레)래핑카우오리지널8포션128g,미출력,유제품,유가공품,수입치즈
35,3073780967815,빙그레)벨큐브플레인78g,미출력,유제품,유가공품,수입치즈
36,3073781010725,빙그레)끼리스프레드크림치즈200g,미출력,유제품,유가공품,수입치즈
37,3161711003074,LF)미니브리치즈25g,미출력,유제품,유가공품,일반치즈
38,3161712002113,LF)일드미니브리치즈25g*5,미출력,유제품,유가공품,수입치즈
39,3161712996108,LF)일드프랑스까망베르125g,미출력,유제품,유가공품,수입치즈
40,3161712996146,LF)일드프랑스쁘띠브리125g,미출력,유제품,유가공품,수입치즈
41,3174506108557,LF)파스퀴에미니토스트80g,미출력,유제품,유가공품,수입치즈
42,3252920022502,구르메)르갈크림치즈플레인150g,미출력,유제품,유가공품,수입치즈
43,3252920022557,구르메)르갈크림치즈딸기150g,미출력,유제품,유가공품,수입치즈
44,3389750000483,24설구르메)치즈플레이트선물세트,미출력,유제품,유가공품,수입치즈
45,3389750033221,24설구르메)패밀리치즈선물세트,미출력,유제품,유가공품,수입치즈
46,3480341002685,LF)타르타르프로방스100g,미출력,유제품,유가공품,수입치즈
47,3480341002692,LF)타르타르코트다쥐르100g,미출력,유제품,유가공품,수입치즈
48,3480347120901,구르메)타르타르프로방스100g,미출력,유제품,유가공품,수입치즈
49,3480347130900,구르메)타르타르이딸리에100g,미출력,유제품,유가공품,수입치즈
50,4006923007214,제니코)몽블랑에멘탈큐브치즈100g,미출력,유제품,유가공품,일반치즈
51,4006923007238,제니코)몽블랑체다큐브치즈100g,미출력,유제품,유가공품,일반치즈
52,4770265218422,제니코)스모크치즈바이트40g,미출력,유제품,유가공품,일반치즈
53,5060312392830,제니코)바질앤갈릭올리브60g,미출력,유제품,유가공품,기타유가공품
54,5200311702883,구르메)페타치즈허브엔스파이스280g,미출력,유제품,유가공품,수입치즈
55,5200311702913,LF)체리페퍼위드크림치즈280g,미출력,유제품,유가공품,수입치즈
56,5200311702920,구르메)그릴드머쉬룸위드크림치즈280g,미출력,유제품,유가공품,수입치즈
57,5200352961232,LF)그린피티드올리브60g,미출력,유제품,유가공품,기타유가공품
58,5200352971231,LF)칼라마타피티드올리브60g,미출력,유제품,유가공품,기타유가공품
59,5704025014862,LF)엠보그치즈바이트8포션140g,미출력,유제품,유가공품,수입치즈
60,5707196301199,제니코)데니쉬크라운살라미스틱28g,미출력,유제품,유가공품,기타유가공품
61,5900512987323,갓밀크)흰우유1L(멸균),미출력,유제품,우유,흰우유(중/대)
62,5901126011015,LF)락티마크리미8포션치즈140g,미출력,유제품,유가공품,수입치즈
63,5901126011763,LF)락티마올리브8포션치즈140g,미출력,유제품,유가공품,수입치즈
64,8007222405325,23년설_구르메)유러피안치즈세트,미출력,유제품,유가공품,수입치즈
65,8007222601079,23년설_구르메)나만의홈파티치즈세트,미출력,유제품,유가공품,수입치즈
66,8028050161177,LF)그린올리브절임200g,미출력,유제품,유가공품,기타유가공품
67,8410060180307,LF)살치촌슬라이스50g,미출력,유제품,유가공품,기타유가공품
68,8410060180505,LF)초리조슬라이스50g,미출력,유제품,유가공품,기타유가공품
69,8410060181908,LF)세라노하몽슬라이스50g,미출력,유제품,유가공품,기타유가공품
