가격표출력,,,,,,
,,,,,,
,,,,,,
No,PLU코드,상품명,출력여부,대분류,중분류,소분류
1,0000000000336,박카스에프120ml 20입 공박스,미출력,음료,기타음료,음료소모품
2,0000000000337,광동)비타500 100ml 20입 공박스,미출력,음료,기타음료,음료소모품
3,0041755150107,랭거스)크랜베리페트449ml,미출력,음료,기타음료,수입음료
4,025616042145,미스터브라운)카푸치노240ml,미출력,음료,기타음료,수입음료
5,025616102504,미스터브라운)아이스커피240ml,미출력,음료,기타음료,수입음료
6,025616107202,미스터브라운)마카다미아넛240ml,미출력,음료,기타음료,수입음료
7,031200017031,오션스프레이)스파클링애플345ml,미출력,음료,탄산음료,탄산음료(소)
8,031200017048,오션스프레이)스파클링피치345ml,미출력,음료,탄산음료,탄산음료(소)
9,031200444332,오션스프레이)크랜베리340ml,미출력,음료,과채음료,과채음료(중)
10,031200444349,오션스프레이)자몽340ml,미출력,음료,과채음료,과채음료(중)
11,041244001057,골든메달애플스파클링296ml,미출력,음료,기타음료,수입음료
12,04124498,골드메달애플병296ml,미출력,음료,기타음료,수입음료
13,041755008477,랭거스)망고페트449ml,미출력,음료,기타음료,수입음료
14,041755008484,랭거스)자몽페트449ml,미출력,음료,기타음료,수입음료
15,0661431005004,피코크)아이스에이지500ml,미출력,음료,생수,생수(소)
16,076183163566,스내플)피치티473ml,미출력,음료,기타음료,수입음료
17,0777311001018,네베)500ml,미출력,음료,생수,생수(소)
18,079800010113,트리니)하와이안썬구아바넥타340ml,미출력,음료,기타음료,수입음료
19,079800011219,트리니)하와이안썬파인애플오렌지340ml,미출력,음료,기타음료,수입음료
20,079800100111,하와이안썬)릴리코이패션340ml,미출력,음료,기타음료,수입음료
21,079800100302,트리니)하와이안썬비치베리펀치340ml,미출력,음료,기타음료,수입음료
22,0889392478518,시나몬랩)셀시어스라즈베리아사이325ml,미출력,음료,스포츠/에너지,에너지음료
23,1500000003105,스트로우(자바라)100EA,미출력,음료,기타음료,음료소모품
24,1500000004484,미에로화이바병*20공박스,미출력,음료,기타음료,음료소모품
25,1500000006136,코카)영진구론산*20공박스,미출력,음료,기타음료,음료소모품
26,1500000007720,동아)오로나민C120ml*20공박스,미출력,음료,기타음료,음료소모품
27,1500000007744,스트로우(낱개포장),미출력,음료,파우치음료,기타파우치
28,1500000007751,아이스컵(신규),미출력,음료,기타음료,음료소모품
29,1500000007768,아이스컵뚜껑(신규),미출력,음료,기타음료,음료소모품
30,1500000020743,동아)컨피던스230ml 12입공박스,미출력,음료,기타음료,음료소모품
31,1500000022952,맑은내일)타이거진열집기,미출력,음료,파우치음료,기타파우치
32,1500000060367,광동)비타500로열폴리스병120ml*20입 공박스,미출력,음료,기타음료,음료소모품
33,1500000062712,(온장고)기타음료,미출력,음료,기타음료,일반음료세트
34,1500000064235,정관장)홍삼원D100ml*20 공박스,미출력,음료,기타음료,음료소모품
35,1500000065379,퓨어)레모나드링크100ml공박스,미출력,음료,기타음료,음료소모품
36,1500000065560,코카)영진구론산스파클링20입공박스,미출력,음료,기타음료,음료소모품
37,1500000065669,동화)홍삼골드100ml*20입 공박스,미출력,음료,기타음료,음료소모품
38,1500000102098,(증정용)웅진)815콜라캔250ml,미출력,음료,탄산음료,탄산음료(소)
39,1500000105372,롯데)펩시콜라캔210ml(증정용),미출력,음료,탄산음료,탄산음료(소)
40,1500000105389,롯데)칠성사이다로어슈거210ml(증정용),미출력,음료,탄산음료,탄산음료(소)
41,1500000113599,광동)비타민D100ml 20입 공박스,미출력,음료,기타음료,음료소모품
42,1500000115319,광동)비타민500콜라겐100ml*20입공박스,미출력,음료,기타음료,음료소모품
43,1500000124151,고려은단)비타민C플러스병*20공박스(new),미출력,음료,기타음료,음료소모품
44,1500000127176,박카스)디카페120ml*20입공박스,미출력,음료,기타음료,음료소모품
45,1500000129811,아임이)아메리카노스위트230ml(수출),미출력,음료,파우치음료,커피파우치
46,1500000130428,아임이)신선함을그대로알로에500ml(수출),미출력,음료,과채음료,과채음료(중)
47,1500000130497,아임이)소프트워터청포도500ml(new)(수출),미출력,음료,스포츠/에너지,스포츠음료(중)
48,1500000130503,아임이)소프트워터복숭아500ml(new)(수출),미출력,음료,스포츠/에너지,스포츠음료(중)
49,1500000130510,아임이)에너지워터블루레몬500ml(new)(수출),미출력,음료,스포츠/에너지,스포츠음료(중)
50,1500000137496,롯데)비타파워병100ml20입(공박스),미출력,음료,기타음료,음료소모품
51,1500000139223,광동)비타500제로100ml*20입공박스,미출력,음료,기타음료,음료소모품
52,1500000148027,동화)비타천플러스120ml*20입(공박스),미출력,음료,기타음료,음료소모품
53,1500000148034,동화)부채표까스활75ml*20입(공박스),미출력,음료,기타음료,음료소모품
54,1500000162023,더바인)아르케어120ml*20입(공박스),미출력,음료,기타음료,음료소모품
55,1500000170769,광동)비타500제로스파클링150ml*20입(공박스),미출력,음료,기타음료,음료소모품
56,1500000177232,앱예약(이원화)싱하소다워터병325ml*6입,미출력,음료,기타음료,수입음료
57,1500000182670,앱예약)코카콜라제로펫500ml*6입,미출력,음료,탄산음료,탄산음료(중)
58,1500000192044,앱예약)싱하소다워터병325ml*24입,미출력,음료,기타음료,수입음료
59,1500000192068,앱예약(이원화)리커버리기어샤인머스켓펫500ml*6입,미출력,음료,스포츠/에너지,스포츠음료(중)
60,1500000192075,앱예약(이원화)리커버리기어자몽오렌지펫500ml*6입,미출력,음료,스포츠/에너지,스포츠음료(중)
61,1500000202330,수출_옐로우)프루티리치캐모마일제로펫500m,미출력,음료,차음료,기능성차음료
62,1500000202347,수출_옐로우)프루티매실그린제로펫500ml,미출력,음료,차음료,기능성차음료
63,1500000202354,수출_옐로우)프루티유자민트제로펫500ml,미출력,음료,차음료,기능성차음료
64,1500000202361,수출_옐로우)소프트워터청포도제로500ml,미출력,음료,스포츠/에너지,스포츠음료(중)
65,1500000202392,수출_옐로우)소프트워터복숭아제로500ml,미출력,음료,스포츠/에너지,스포츠음료(중)
66,1500000202415,수출_옐로우)에너지워터블루레몬제로500ml,미출력,음료,스포츠/에너지,스포츠음료(중)
67,1500000202491,수출_옐로우)GEEK체리향콜라펫500ml(6입),미출력,음료,탄산음료,탄산음료(대)
68,1500000202507,수출_옐로우)GEEK라임향사이다펫500ml(6입),미출력,음료,탄산음료,탄산음료(대)
69,1500000202514,수출_성수310)아메리카노블랙340ml,미출력,음료,파우치음료,커피파우치
70,1500000202521,수출_성수310)아메리카노헤이즐넛340ml,미출력,음료,파우치음료,커피파우치
71,1500000202538,수출_성수310)더블머스캣블렌디드340ml,미출력,음료,파우치음료,에이드파우치
72,1500000202545,수출_성수310)핑크자몽에이드340ml,미출력,음료,파우치음료,에이드파우치
73,1500000202552,수출_성수310)망고패션블렌디드340ml,미출력,음료,파우치음료,에이드파우치
74,1500000202576,수출_성수310)유자민트블렌디드340ml,미출력,음료,파우치음료,에이드파우치
75,1500000202583,수출_성수310)딸기레몬블렌디드340ml,미출력,음료,파우치음료,에이드파우치
76,1500000202590,수출_성수310)스윗뱅쇼340ml,미출력,음료,파우치음료,에이드파우치
77,1500000202927,SKU TEST(2),미출력,음료,탄산음료,탄산음료(소)
78,1500000204921,코카)영진구론산탄산비타액병*20공박스,미출력,음료,기타음료,음료소모품
79,1500000205775,수출_성수310)아샷추340ml,미출력,음료,파우치음료,커피파우치
80,1500000205799,수출_성수310)얼배타340ml,미출력,음료,파우치음료,에이드파우치
81,1500000205805,수출_성수310)얼카타340ml,미출력,음료,파우치음료,에이드파우치
82,1500000205812,수출_성수310)더블피치블렌디드340ml,미출력,음료,파우치음료,에이드파우치
83,1500000205829,수출_성수310)더블피치블렌디드500ml,미출력,음료,파우치음료,에이드파우치
84,1500000205836,수출_성수310)딸기레몬블렌디드500ml,미출력,음료,파우치음료,에이드파우치
85,1500000205843,수출_성수310)얼타비340ml,미출력,음료,파우치음료,에이드파우치
