가격표출력,,,,,,
,,,,,,
,,,,,,
No,PLU코드,상품명,출력여부,대분류,중분류,소분류
1,0000000000335,크리넥스)마스크집기,미출력,일상용품,의약품,의약외품
2,078300015802,플레이텍스)레귤러8입,미출력,일상용품,위생용품,패드
3,1500000018917,핫팩)18년진열대(종이),미출력,일상용품,의약품,의약외품
4,1500000020750,바슈롬)렌즈보습액진열집기,미출력,일상용품,의약품,의약외품
5,1500000022037,핫팩)종이진열대(무민),미출력,일상용품,의약품,의약외품
6,1500000022204,마스크)전용진열집기(19년),미출력,일상용품,의약품,의약외품
7,1500000022211,유한)임신진단키트전용집기,미출력,일상용품,의약품,의약외품
8,1500000023263,에프킬라)방충용품진열대(23년),미출력,일상용품,방향/방충,방향/방충/제습
9,1500000024627,페브리즈)상품진열세트(상품포함),미출력,일상용품,방향/방충,방향/방충/제습
10,1500000062378,핫팩)겨울왕국핫팩진열대(19년),미출력,일상용품,의약품,의약외품
11,1500000063634,P&G)브랜드모음상품세트,미출력,일상용품,방향/방충,방향/방충/제습
12,1500000065362,e)균일가물티슈진열집기,미출력,일상용품,제지,일반물티슈
13,1500000068806,가정상비용품진열집기(20년),미출력,일상용품,의약품,의약외품
14,1500000068936,유한)마이비데진열집기(20년),미출력,일상용품,제지,일반물티슈
15,1500000069599,엘라밴드)진열집기(20년),미출력,일상용품,의약품,의약외품
16,1500000069629,해피홈)방충제진열대(20년),미출력,일상용품,방향/방충,방향/방충/제습
17,1500000069834,해피홈)길이조절띠지형진열대,미출력,일상용품,방향/방충,방향/방충/제습
18,1500000105402,핫팩)의성향로종이진열대(20년),미출력,일상용품,의약품,의약외품
19,1500000112486,에프킬라)방충용품사이드집기(25년),미출력,일상용품,방향/방충,방향/방충/제습
20,1500000113049,(신규점)민생미세먼지화이트마스크KF94(1입),미출력,일상용품,의약품,의약외품
21,1500000113056,(신규점)베이비물티슈100매,미출력,일상용품,제지,아기물티슈
22,1500000113063,(신규점)미용티슈200매(6입),미출력,일상용품,제지,각티슈
23,1500000113575,해외)르플랑섬유향수진열집기,미출력,일상용품,방향/방충,방향/방충/제습
24,1500000116699,핫팩)도시어부종이진열대(21년),미출력,일상용품,의약품,의약외품
