가격표출력,,,,,,
,,,,,,
,,,,,,
No,PLU코드,상품명,출력여부,대분류,중분류,소분류
1,1500000116583,대정)클럽샌드위치(사전예약),미출력,조리빵,샌드위치,프리미엄샌드위치
2,1500000116590,대정)클럽샌드위치2편(사전예약),미출력,조리빵,샌드위치,프리미엄샌드위치
3,1500000116606,대정)에그쉬림프샌드위치(사전예약),미출력,조리빵,샌드위치,프리미엄샌드위치
4,1500000116613,대정)에그쉬림프샌드위치2편(사전예약),미출력,조리빵,샌드위치,프리미엄샌드위치
5,1500000116620,현대)피크닉샌드(사전예약),미출력,조리빵,샌드위치,프리미엄샌드위치
6,1500000116644,현대)피크닉샌드2편(사전예약),미출력,조리빵,샌드위치,프리미엄샌드위치
7,1500000116668,현대)모닝떡갈비샌드위치(사전예약),미출력,조리빵,샌드위치,프리미엄샌드위치
8,1500000116675,현대)모닝떡갈비샌드위치2편(사전예약),미출력,조리빵,샌드위치,프리미엄샌드위치
9,1500000116705,대정)햄에그스크램블시그니처핫도그(사전예약),미출력,조리빵,햄버거,핫도그
10,1500000116729,대정)햄에그스크램블시그니처핫도그2편(사전예약),미출력,조리빵,햄버거,핫도그
11,1500000116910,대정)숯불향기고칠리핫도그(사전예약),미출력,조리빵,햄버거,핫도그
12,1500000116927,대정)숯불향기고칠리핫도그2편(사전예약),미출력,조리빵,햄버거,핫도그
13,1500000116934,대정)토마토베이컨핫도그(사전예약),미출력,조리빵,햄버거,핫도그
14,1500000116941,대정)토마토베이컨핫도그2편(사전예약),미출력,조리빵,햄버거,핫도그
15,1500000120306,대정)서울시스터즈_돈까스김치버거(사전예약),미출력,조리빵,햄버거,햄버거
16,1500000120313,대정)서울시스터즈_돈까스김치버거2편(사전예약),미출력,조리빵,햄버거,햄버거
17,1500000121204,대정)치킨&햄샌드위치2편(특판용코드)(중단),미출력,조리빵,샌드위치,일반샌드위치
18,1500000122508,대정)코오롱_떡이솟솟녹차팥크림샌드(사전예약),미출력,조리빵,샌드위치,일반샌드위치
19,1500000122515,대정)코오롱_떡이솟솟녹차팥크림샌드 2편(사전예약),미출력,조리빵,샌드위치,일반샌드위치
20,1500000122836,현대)바삭_새우샌드위치(사전예약),미출력,조리빵,샌드위치,프리미엄샌드위치
21,1500000122843,현대)바삭_새우샌드위치2편(사전예약),미출력,조리빵,샌드위치,프리미엄샌드위치
22,1500000122850,현대)바삭_통살치킨버거(사전예약),미출력,조리빵,햄버거,햄버거
23,1500000122867,현대)바삭_통살치킨버거2편(사전예약),미출력,조리빵,햄버거,햄버거
24,1500000122874,대정)바삭_통등심돈까스샌드위치(사전예약),미출력,조리빵,샌드위치,프리미엄샌드위치
25,1500000122881,대정)바삭_통등심돈까스샌드위치2편(사전예약),미출력,조리빵,샌드위치,프리미엄샌드위치
26,1500000122911,대정)주식_더블패티버거&치즈후라이(사전예약),미출력,조리빵,햄버거,햄버거
27,1500000123208,대정)트레저_크랜베리치킨샌드위치(사전예약),미출력,조리빵,샌드위치,일반샌드위치
28,1500000123215,대정)트레저_크랜베리치킨샌드위치2편(사전예약),미출력,조리빵,샌드위치,일반샌드위치
29,1500000123871,현대)검은버거_그릴드스테이크버거(사전예약),미출력,조리빵,햄버거,햄버거
30,1500000127435,대정)깨비증권_리코타크랜베리샌드위치(사전예약),미출력,조리빵,샌드위치,프리미엄샌드위치
31,1500000127442,대정)깨비증권_리코타크랜베리샌드위치2편(사전예약),미출력,조리빵,샌드위치,프리미엄샌드위치
32,1500000127473,현대)깨비증권_크리스피어니언핫도그(사전예약),미출력,조리빵,햄버거,핫도그
33,1500000127480,현대)깨비증권_크리스피어니언핫도그2편(사전예약),미출력,조리빵,햄버거,핫도그
34,1500000127497,현대)깨비증권_매콤슈레드치즈핫도그(사전예약),미출력,조리빵,햄버거,핫도그
35,1500000127503,현대)깨비증권_매콤슈레드치즈핫도그2편(사전예약),미출력,조리빵,햄버거,핫도그
36,1500000127862,대정)273맛집_영철스트리트버거(사전예약),미출력,조리빵,햄버거,핫도그
37,1500000127879,대정)273맛집_영철스트리트버거2편(사전예약),미출력,조리빵,햄버거,핫도그
38,1500000127909,현대)273맛집_빵낀과과일샌드(사전예약),미출력,조리빵,샌드위치,일반샌드위치
39,1500000127916,현대)273맛집_빵낀과과일샌드2편(사전예약),미출력,조리빵,샌드위치,일반샌드위치
40,1500000127930,현대)273맛집_빵낀과참치샌드(사전예약),미출력,조리빵,샌드위치,일반샌드위치
41,1500000127947,현대)273맛집_빵낀과참치샌드2편(사전예약),미출력,조리빵,샌드위치,일반샌드위치
42,1500000142452,현대)던파_고추잡채치즈고로케(사전예약),미출력,조리빵,샌드위치,일반샌드위치
43,1500000142469,현대)던파_고추잡채치즈고로케2편(사전예약),미출력,조리빵,샌드위치,일반샌드위치
44,1500000142476,현대)던파_바베큐맛통살치킨버거(사전예약),미출력,조리빵,햄버거,햄버거
45,1500000142483,현대)던파_바베큐맛통살치킨버거2편(사전예약),미출력,조리빵,햄버거,햄버거
46,1500000144708,대정)한스_고구마돈까스버거(사전예약),미출력,조리빵,햄버거,햄버거
47,1500000144722,대정)한스_고구마돈까스버거2편(사전예약),미출력,조리빵,햄버거,햄버거
48,1500000145835,대정)던파_고추잡채치즈고로케(사전예약),미출력,조리빵,샌드위치,일반샌드위치
49,1500000145842,대정)던파_고추잡채치즈고로케2편(사전예약),미출력,조리빵,샌드위치,일반샌드위치
50,1500000145880,대정)던파_바베큐맛통살치킨버거(사전예약),미출력,조리빵,햄버거,햄버거
51,1500000145897,대정)던파_바베큐맛통살치킨버거2편(사전예약),미출력,조리빵,햄버거,햄버거
52,1500000148096,대정)더클리프_클럽버거(사전예약),미출력,조리빵,햄버거,햄버거
53,1500000148102,대정)더클리프_클럽버거2편(사전예약),미출력,조리빵,햄버거,햄버거
54,1500000150822,대정)아삭햄야채샐러드샌드위치2편(특판용)(중단),미출력,조리빵,샌드위치,일반샌드위치
55,1500000153038,대정)신병_말년병장사제버거2편(특판용)(중단),미출력,조리빵,햄버거,햄버거
56,1500000162627,대정)드빌_촉촉에그몰랑샌드위치(사전예약),미출력,조리빵,샌드위치,일반샌드위치
57,1500000162634,대정)드빌_촉촉에그몰랑샌드위치2편(사전예약),미출력,조리빵,샌드위치,일반샌드위치
58,1500000162658,대정)드빌_빅통살치킨버거(사전예약),미출력,조리빵,햄버거,햄버거
59,1500000162665,대정)드빌_빅통살치킨버거2편(사전예약),미출력,조리빵,햄버거,햄버거
60,1500000167516,대정)연참_마라버거(사전예약)(중단),미출력,조리빵,햄버거,햄버거
61,1500000167523,대정)연참_마라버거2편(사전예약)(중단),미출력,조리빵,햄버거,햄버거
62,1500000170202,그린)블랙디럭스버거2편(사전예약),미출력,조리빵,햄버거,햄버거
63,1500000171742,삼립)햄포테이토샐러드샌드위치2편(특판용),미출력,조리빵,샌드위치,일반샌드위치
64,1500000171766,삼립)뉴빅케이준치킨햄샌드위치2편(특판용),미출력,조리빵,샌드위치,일반샌드위치
65,1500000171827,대정)베이컨치즈샌드위치2편(특판용),미출력,조리빵,샌드위치,일반샌드위치
66,1500000171834,삼립)프리미엄햄에그샌드2편(특판용),미출력,조리빵,샌드위치,일반샌드위치
67,1500000171858,대정)페스츄리에그샌드2편(특판용),미출력,조리빵,샌드위치,프리미엄샌드위치
68,1500000171865,대정)티맵강릉_돈까스버거(사전예약),미출력,조리빵,햄버거,햄버거
69,1500000171889,대정)티맵강릉_돈까스버거2편(사전예약),미출력,조리빵,햄버거,햄버거
70,1500000171919,대정)촉촉에그몰랑샌드위치2편(특판용),미출력,조리빵,샌드위치,일반샌드위치
71,1500000171940,대정)아삭햄야채샌드위치2편(특판용),미출력,조리빵,샌드위치,일반샌드위치
72,1500000171957,삼립)썸머크랩샌드위치2편(특판용),미출력,조리빵,샌드위치,일반샌드위치
73,1500000176860,그린)스파이시통살치킨버거2편(사전예약),미출력,조리빵,햄버거,햄버거
74,1500000176884,그린)베놈_블랙비프버거2편(사전예약),미출력,조리빵,햄버거,햄버거
75,1500000178178,대정)티맵단양_마늘떡갈비버거(사전예약),미출력,조리빵,햄버거,햄버거
76,1500000178208,대정)티맵단양_마늘떡갈비버거2편(사전예약),미출력,조리빵,햄버거,햄버거
77,1500000179434,대정)요거트크림딸기샌드위치(사전예약),미출력,조리빵,샌드위치,일반샌드위치
78,1500000179441,대정)요거트크림딸기샌드위치2편(사전예약),미출력,조리빵,샌드위치,일반샌드위치
79,1500000181062,그린)칠리오징어버거2편(사전예약),미출력,조리빵,햄버거,햄버거
80,1500000181215,대정)F45_상큼유자닭가슴살샌드위치(사전예약),미출력,조리빵,샌드위치,프리미엄샌드위치
81,1500000181222,대정)F45_상큼유자닭가슴살샌드위치2편(사전예약),미출력,조리빵,샌드위치,프리미엄샌드위치
82,1500000183936,팡마니)통밀햄포테이토샌드위치2편(특판용),미출력,조리빵,샌드위치,프리미엄샌드위치
83,1500000184223,그린)상상_2200치즈버거2편(사전예약),미출력,조리빵,햄버거,햄버거
84,1500000185602,대정)스테이씨_크림치즈샌드위치(사전예약),미출력,조리빵,샌드위치,프리미엄샌드위치
