가격표출력,,,,,,
,,,,,,
,,,,,,
No,PLU코드,상품명,출력여부,대분류,중분류,소분류
1,1500000116859,대정)소시지나폴리탄파스타2편(사전예약))종료),미출력,즉석식,간편조리FF,조리면
2,1500000116866,대정)돈까스&아라비아따파스타2편(사전예약),미출력,즉석식,간편조리FF,조리면
3,1500000120252,대정)서울시스터즈_얼큰김치햄라면2편(사전예약),미출력,즉석식,간편조리FF,조리면
4,1500000123888,대정)검은새치_블랙페퍼치킨새우강정2편(사전예약),미출력,즉석식,간편조리FF,간식/안주
5,1500000123895,대정)검은사리_오징어먹물파스타2편(사전예약),미출력,즉석식,간편조리FF,조리면
6,1500000142513,대정)던파_속닭속닭갈비맛닭강정2편(사전예약),미출력,즉석식,간편조리FF,간식/안주
7,1500000162856,대정)드빌_떡만둣국2편(사전예약),미출력,즉석식,간편조리FF,조리면
8,1500000165727,대정)예스24_돈까스&치즈토마토파스타(사전예약),미출력,즉석식,간편조리FF,조리면
9,1500000167455,대정)연참_마라닭갈비파스타2편 (사전예약),미출력,즉석식,간편조리FF,조리면
10,1500000170264,세아)순살치킨파티팩반할만하닭450g (사전예약),미출력,즉석식,간편조리FF,간식/안주
11,1500000174996,대정)뉴반반고구마닭강정2편_속초식&갈비맛,미출력,즉석식,간편조리FF,간식/안주
12,1500000175009,대정)매콤달콤속초식닭강정2편,미출력,즉석식,간편조리FF,간식/안주
13,1500000175016,대정)속닭속닭갈비맛닭강정2편,미출력,즉석식,간편조리FF,간식/안주
14,1500000177744,이더리움)함박스테이킹파스타380g (사전예약),미출력,즉석식,간편조리FF,조리면
15,1500000178734,대정)티맵청양_야끼짬뽕247g (사전예약),미출력,즉석식,간편조리FF,조리면
16,1500000181178,대정)오징어먹물크림파스타(사전예약),미출력,즉석식,간편조리FF,조리면
17,1500000182236,대정)모마_떡만둣국&모듬전세트(사전예약),미출력,즉석식,간편조리FF,조리면
18,1500000182571,대정)상상_2900짜장면2편(사전예약),미출력,즉석식,간편조리FF,조리면
19,1500000187538,대정)최현석_단호박크림뇨끼(사전예약),미출력,즉석식,간편조리FF,조리면
20,1500000187545,대정)여경래_깐풍기&깐풍만두,미출력,즉석식,간편조리FF,간식/안주
21,1500000190293,대정)오스틴강_갓장아찌동치미국수 (사전예약),미출력,즉석식,간편조리FF,조리면
22,1500000193041,대정)스테이씨_닭가슴살메밀면볼 (사전예약),미출력,즉석식,샐러드,즉석샐러드
23,1500000193058,맘마미아)그리스식그린샐러드 (사전예약),미출력,즉석식,샐러드,즉석샐러드
24,1500000194208,대정)썸머문_리본로제파스타2편(사전예약),미출력,즉석식,간편조리FF,조리면
25,1500000201326,대정)오스틴강_웜플래터2편(사전예약),미출력,즉석식,간편조리FF,간식/안주
