가격표출력,,,,,,
,,,,,,
,,,,,,
No,PLU코드,상품명,출력여부,대분류,중분류,소분류
1,1500000002005,원두)엘까페딸원두500g,미출력,카운터FF,즉석커피,이프레쏘/바리스타
2,1500000003005,원두)푸드머스원두500g,미출력,카운터FF,즉석커피,이프레쏘/바리스타
3,1500000003011,직영)라떼&토스트,미출력,카운터FF,즉석커피,이프레쏘/바리스타
4,1500000003012,직영)아이스라떼&토스트,미출력,카운터FF,즉석커피,이프레쏘/바리스타
5,1500000003016,슬러시)포도믹스5.5kg,미출력,카운터FF,즉석조리,즉석음료
6,1500000003017,슬러시)오렌지믹스5.5kg,미출력,카운터FF,즉석조리,즉석음료
7,1500000003025,Big핫도그,미출력,카운터FF,즉석조리,즉석튀김
8,1500000003026,스틱핫도그,미출력,카운터FF,즉석조리,즉석튀김
9,1500000003109,핫도그)스윗칠리소스발주,미출력,카운터FF,즉석조리,즉석튀김
10,1500000003111,스윗칠리핫도그,미출력,카운터FF,즉석조리,즉석튀김
11,1500000003125,냉동도넛)글레이즈드,미출력,카운터FF,즉석조리,즉석튀김
12,1500000003126,냉동도넛)스트로베리필드,미출력,카운터FF,즉석조리,즉석튀김
13,1500000003132,원두)위드미블렌딩150g,미출력,카운터FF,즉석커피,이프레쏘/바리스타
14,1500000003133,원두)콜롬비아150g,미출력,카운터FF,즉석커피,이프레쏘/바리스타
15,1500000003134,원두)브라질150g,미출력,카운터FF,즉석커피,이프레쏘/바리스타
16,1500000004170,이프레쏘)아이스드립커피(M),미출력,카운터FF,즉석커피,이프레쏘/바리스타
17,1500000005412,원재료)유산지1000EA,미출력,카운터FF,즉석조리,즉석조리소모품
18,1500000005443,원재료)스티커1000EA,미출력,카운터FF,즉석조리,즉석조리소모품
19,1500000005474,원재료)토스트봉투(대)1000EA,미출력,카운터FF,즉석조리,즉석조리소모품
20,1500000005504,원재료)토스트봉투(소)1000EA,미출력,카운터FF,즉석조리,즉석조리소모품
21,1500000005528,아티산)소세지브리또145g,미출력,카운터FF,즉석조리,즉석튀김
22,1500000005641,원재료)New위드미블렌딩150g,미출력,카운터FF,즉석커피,이프레쏘/바리스타
23,1500000005665,판매용)미트볼정식4500,미출력,카운터FF,즉석조리,즉석튀김
24,1500000005672,판매용)돈까스카레덮밥4000,미출력,카운터FF,즉석조리,즉석튀김
25,1500000005733,판매용)돈불고기2000,미출력,카운터FF,즉석조리,즉석튀김
26,1500000005801,판매용)빅핫도그2000,미출력,카운터FF,즉석조리,즉석튀김
27,1500000005825,종료)모짜치즈핫도그2500,미출력,카운터FF,즉석조리,즉석튀김
28,1500000005832,판매용)베이컨핫도그3000,미출력,카운터FF,즉석조리,즉석튀김
29,1500000005863,판매용)소프트아이스크림2000,미출력,카운터FF,즉석조리,즉석음료
30,1500000005887,판매용)진한카페라떼2000,미출력,카운터FF,즉석커피,이프레쏘/바리스타
31,1500000005931,콤보)씨리얼500,미출력,카운터FF,즉석조리,즉석튀김
32,1500000005993,판매용)밥+계란후라이1000,미출력,카운터FF,즉석조리,즉석튀김
33,1500000006099,모비딕)모둠오뎅1000,미출력,카운터FF,즉석조리,즉석튀김
34,1500000006648,이프레쏘)핫드립커피(L),미출력,카운터FF,즉석커피,이프레쏘/바리스타
35,1500000007966,원재료)토마토1000g,미출력,카운터FF,즉석조리,즉석튀김
36,1500000008031,원재료)무지양포(흰색)500EA,미출력,카운터FF,즉석조리,즉석조리소모품
37,1500000008123,판매용)불고기도시락5000,미출력,카운터FF,즉석조리,즉석튀김
38,1500000008260,판매용)치킨&햄치아바타4000,미출력,카운터FF,즉석조리,즉석튀김
39,1500000008284,판매용)셀프햄에그토스트2500,미출력,카운터FF,즉석조리,즉석튀김
40,1500000008291,이프레쏘)핫카페라떼2500,미출력,카운터FF,즉석커피,이프레쏘/바리스타
41,1500000008307,이프레쏘)아이스카페라떼2000,미출력,카운터FF,즉석커피,이프레쏘/바리스타
42,1500000008413,판매용)불고기도시락4500(하남스타필드),미출력,카운터FF,즉석조리,즉석튀김
43,1500000008734,원재료)SF오렌지(113과/18kg/박스),미출력,카운터FF,즉석조리,즉석음료
44,1500000008758,이프레쏘)핫아메리카노(L),미출력,카운터FF,즉석커피,이프레쏘/바리스타
45,1500000008765,이프레쏘)아이스아메리카노(M),미출력,카운터FF,즉석커피,이프레쏘/바리스타
46,1500000008802,판매용)파인애플쥬스,미출력,카운터FF,즉석조리,즉석음료
47,1500000008826,판매용)오렌지착즙쥬스,미출력,카운터FF,즉석조리,즉석음료
48,1500000008888,판매용)NEW불고기도시락4500,미출력,카운터FF,즉석조리,즉석튀김
49,1500000008895,판매용)NEW제육볶음도시락4500,미출력,카운터FF,즉석조리,즉석튀김
50,1500000008901,판매용)경기고시히까리쌀밥800,미출력,카운터FF,즉석조리,즉석튀김
51,1500000009199,판매용)캔실러500,미출력,카운터FF,즉석커피,이프레쏘/바리스타
52,1500000009229,판매용)반찬1찬,미출력,카운터FF,즉석조리,즉석튀김
53,1500000009243,판매용)즉석조리서비스500,미출력,카운터FF,즉석조리,즉석튀김
54,1500000009250,판매용)즉석조리서비스1000,미출력,카운터FF,즉석조리,즉석튀김
55,1500000009298,판매용)계란후라이500,미출력,카운터FF,즉석조리,즉석튀김
56,1500000009311,판매용)셀프토스트1000,미출력,카운터FF,즉석조리,즉석튀김
57,1500000011512,고양스타필드행사용원두커피)10,미출력,카운터FF,즉석커피,이프레쏘/바리스타
58,1500000012106,원재료)오슬로쎄니콜(소)1L_소독제,미출력,카운터FF,즉석조리,즉석조리소모품
59,1500000012113,원재료)오슬로쎄니콜분무기500ML(소)1L_소독제,미출력,카운터FF,즉석조리,즉석조리소모품
60,1500000012168,이프레쏘)에스프레소,미출력,카운터FF,즉석커피,이프레쏘/바리스타
61,1500000013493,구이기)군고구마,미출력,카운터FF,즉석조리,오븐쿡
62,1500000014872,구이기)군밤2500 ,미출력,카운터FF,즉석조리,즉석튀김
