가격표출력,,,,,,
,,,,,,
,,,,,,
No,PLU코드,상품명,출력여부,대분류,중분류,소분류
1,0034000002436,허쉬)미스터굿바49g,미출력,캔디/초콜릿,초콜렛,판초콜렛
2,010700021526,허쉬)밀크덧초콜릿카라멜141g,미출력,캔디/초콜릿,젤리/캬라멜,캬라멜
3,010700022981,X허쉬)후퍼스스노우볼113g,미출력,캔디/초콜릿,초콜렛,초콜렛행사(데이)
4,010700023858,허쉬)후퍼스49g,미출력,캔디/초콜릿,초콜렛,볼초콜렛
5,010700024718,X허쉬)후퍼스홀리데이밀크볼99g,미출력,캔디/초콜릿,초콜렛,초콜렛행사(데이)
6,022000116086,스타버스트)듀오170g,미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
7,024048000952,천하)마카다미아초콜릿8500(20발렌),미출력,캔디/초콜릿,초콜렛,초콜렛행사(데이)
8,030800001730,스팽글러덤덤캔디25P,미출력,캔디/초콜릿,캔디,일반캔디
9,034000013814,허쉬)캔디케인43g,미출력,캔디/초콜릿,초콜렛,판초콜렛
10,034000102532,롯데)허쉬쿠키앤초코40g,미출력,캔디/초콜릿,초콜렛,판초콜렛
11,034000109241,허쉬)리세스피넛바47g,미출력,캔디/초콜릿,초콜렛,바초콜렛
12,034000239344,롯데)허쉬쿠키앤크림40g,미출력,캔디/초콜릿,초콜렛,판초콜렛
13,034000243686,롯데)허쉬해리포터바밀크43g,미출력,캔디/초콜릿,초콜렛,판초콜렛
14,034000314027,허쉬)피넛앤프레첼39g,미출력,캔디/초콜릿,초콜렛,판초콜렛
15,034000482009,롯데)아이스브레이커스듀오체리36g,미출력,캔디/초콜릿,캔디,기능성캔디
16,034000702329,리세스)투컵스42g,미출력,캔디/초콜릿,초콜렛,바초콜렛
17,034000723973,롯데)아이스브레이커스미니베리,미출력,캔디/초콜릿,캔디,기능성캔디
18,034000941506,롯데)허쉬오버로드42g,미출력,캔디/초콜릿,초콜렛,바초콜렛
19,034000945221,롯데)허쉬해리포터키세스케인밀크58g,미출력,캔디/초콜릿,초콜렛,초콜렛행사(데이)
20,03400500,리세스)넛바47g,미출력,캔디/초콜릿,초콜렛,바초콜렛
21,03424005,롯데)허쉬크리미밀크40g,미출력,캔디/초콜릿,초콜렛,판초콜렛
22,03424102,롯데)허쉬크리미밀크아몬드40g,미출력,캔디/초콜릿,초콜렛,판초콜렛
23,034856001751,웰치스)믹스후르츠젤리25g,미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
24,034856064084,농심)웰치후르트젤리64g,미출력,캔디/초콜릿,젤리/캬라멜,국내젤리
25,038252710248,일신)미니언즈링팝캔디12g,미출력,캔디/초콜릿,캔디,토이캔디
26,040000162643,스타버스트)오리지널170g,미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
27,04010508,마즈)스니커즈아몬드싱글,미출력,캔디/초콜릿,초콜렛,바초콜렛
28,04025908,스타버스트)오리지널젤리42g(24),미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
29,04029603,마즈)도브밀크싱글43g,미출력,캔디/초콜릿,초콜렛,판초콜렛
30,04040509,마즈)트윅스4바85g,미출력,캔디/초콜릿,초콜렛,바초콜렛
31,041269509019,미성)팔머호박모양초콜릿128g(22H),미출력,캔디/초콜릿,초콜렛,초콜렛행사(데이)
32,041269518295,미성)팔머파티펄스몬스터초콜릿85g(22H),미출력,캔디/초콜릿,초콜렛,봉지초콜렛
33,041420045691,네슬레)너즈로프레인보우26gR,미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
34,041420746314,삼경)블랙포레스트젤리1500,미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
35,04657293,마루가와버블껌,미출력,캔디/초콜릿,껌,어린이껌
36,054300091527,로투스)록키마운틴마시멜로우150g,미출력,캔디/초콜릿,젤리/캬라멜,캬라멜
37,056600670112,허쉬쿠키플러스카라멜1800,미출력,캔디/초콜릿,초콜렛,판초콜렛
38,071567425025,젤리벨리)후르츠향볼(백)100g,미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
39,071567731010,젤리벨리빈400,미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
40,071570001667,젤리벨리)젤리빈20가지혼합맛70g,미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
41,071570001858,젤리벨리)젤리빈후루티볼믹스70g,미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
42,071873124032,천하)하와이안파운더스밀크198g(24V),미출력,캔디/초콜릿,초콜렛,초콜렛행사(데이)
43,071873221014,하와이안호스트)티키226g14000,미출력,캔디/초콜릿,초콜렛,초콜렛행사(데이)
44,071873221083,하와이안호스트)티키113g7000,미출력,캔디/초콜릿,초콜렛,초콜렛행사(데이)
45,071873228204,하와이안호스트)다크99g8000,미출력,캔디/초콜릿,초콜렛,초콜렛행사(데이)
46,079200086657,너즈로프베리베리26g(A),미출력,캔디/초콜릿,캔디,일반캔디
47,079200131166,투데이)스윗타르트츄위42.5g(A),미출력,캔디/초콜릿,캔디,일반캔디
48,079200173067,네슬레너즈로프레인보우26g(A),미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
49,07933624,네슬레)너즈딸기&포도향46.7g(A),미출력,캔디/초콜릿,캔디,일반캔디
50,0850027880105,파머스)미스터비스트피스터블아몬드초콜릿60g,미출력,캔디/초콜릿,초콜렛,판초콜렛
51,0850027880129,파머스)미스터비스트피스터블밀크초콜릿60g,미출력,캔디/초콜릿,초콜렛,판초콜렛
52,0850027880266,파머스)미스터비스트피스터블밀크크런치초콜릿60g,미출력,캔디/초콜릿,초콜렛,판초콜렛
53,0850027880280,파머스)미스터비스트피스터블땅콩버터초콜릿60g,미출력,캔디/초콜릿,초콜렛,판초콜렛
54,1001258817890,농심)츄파춥스11g,미출력,캔디/초콜릿,캔디,일반캔디
55,1230000131537,매일)너즈구미클러스터베리베리향45g,미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
56,1230000131841,매일)너즈구미클러스터레인보우45g,미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
57,1500000003241,후르츠텔라요구르트,미출력,캔디/초콜릿,캔디,일반캔디
58,1500000003333,X킨더조이걸이형진열대(20년형),미출력,캔디/초콜릿,초콜렛,초콜렛행사(데이)
59,1500000009052,블랙포레스트)프루티메들리젤리23g,미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
60,1500000009335,동아)박카스젤리진열대,미출력,캔디/초콜릿,젤리/캬라멜,젤리행사(데이)
61,1500000015268,하리보)진열대,미출력,캔디/초콜릿,젤리/캬라멜,젤리행사(데이)
62,1500000015275,해태)소용량캔디진열대,미출력,캔디/초콜릿,캔디,캔디행사(데이)
63,1500000016326,젤리벨리)진열대,미출력,캔디/초콜릿,젤리/캬라멜,젤리행사(데이)
64,1500000018580,마즈)이클립스진열대,미출력,캔디/초콜릿,캔디,캔디행사(데이)
65,1500000023828,롯데)아이스브레이커스진열대,미출력,캔디/초콜릿,캔디,캔디행사(데이)
66,1500000024608,오리온)아이셔팝12g,미출력,캔디/초콜릿,캔디,일반캔디
67,1500000101749,마즈)이클립스덤프빈진열대(2020),미출력,캔디/초콜릿,캔디,캔디행사(데이)
68,1500000105501,E24)몰티져스&엠앤엠즈걸이형진열대(20년),미출력,캔디/초콜릿,초콜렛,초콜렛행사(데이)
