가격표출력,,,,,,
,,,,,,
,,,,,,
No,PLU코드,상품명,출력여부,대분류,중분류,소분류
1,0070177174613,트와이닝)프리미엄홍차선물세트,미출력,커피차/건강,건강식품,커피차/건강선물세트
2,054467050382,스타벅스)핫코코아마시멜로,미출력,커피차/건강,커피차,차류
3,054467500009,스타벅스)핫코코아클래식,미출력,커피차/건강,커피차,차류
4,054467502720,스타벅스)핫코코아바닐라브륄레,미출력,커피차/건강,커피차,차류
5,070177050603,트와이닝)얼그레이10입(D),미출력,커피차/건강,커피차,차류
6,070177050610,트와이닝)잉글리시브렉퍼스트10입(D),미출력,커피차/건강,커피차,차류
7,070177077136,트와이닝)레이디그레이10입(D),미출력,커피차/건강,커피차,차류
8,070177174729,트와이닝)컬렉션티20입(D),미출력,커피차/건강,커피차,차류
9,1500000001002,원두커피)쟈뎅컵50입(발주용),미출력,커피차/건강,커피차,원컵커피차류
10,1500000001004,쟈뎅)커피스틱500입(D),미출력,커피차/건강,커피차,원컵커피차류
11,1500000006488,쟈뎅)뚜껑50P(D),미출력,커피차/건강,커피차,원컵커피차류
12,1500000006587,쟈뎅)컵20P,미출력,커피차/건강,커피차,원컵커피차류
13,1500000016340,쟈뎅)까페모리소모품(발포컵50입)(D),미출력,커피차/건강,커피차,원컵커피차류
14,1500000016357,쟈뎅)까페모리소모품(발포컵뚜껑50입)(D),미출력,커피차/건강,커피차,원컵커피차류
15,1500000060282,뉴트리원)타이밍진열집기,미출력,커피차/건강,건강식품,숙취해소제
16,1500000064693,삼양사)상쾌환3입진열집기(D),미출력,커피차/건강,건강식품,숙취해소제
17,1500000064792,담터)이천쌀라떼원컵집기,미출력,커피차/건강,커피차,원컵커피차류
18,1500000065331,삼양사)상쾌환1입진열집기(D),미출력,커피차/건강,건강식품,숙취해소제
19,1500000104788,라이필)더마콜라겐선물세트(8주분+2주분+손거울),미출력,커피차/건강,건강식품,커피차/건강선물세트
20,1500000105396,쟈뎅)커피스틱500입(개별포장)(D),미출력,커피차/건강,커피차,원컵커피차류
21,1500000105426,라이필)더마콜라겐선물세트(콜라겐3병_12주분+파우치팩2개_4주분+손거울),미출력,커피차/건강,건강식품,커피차/건강선물세트
22,1500000110338,건강)숙취해소제진열대,미출력,커피차/건강,건강식품,숙취해소제
23,1500000110451,설186GNC)혈관관리세트(아쿠아셀오메가3코큐텐디*3개),미출력,커피차/건강,건강식품,커피차/건강선물세트
24,1500000110468,설182라이필)더마콜라겐선물세트(8주분+2주분+텀블러),미출력,커피차/건강,건강식품,커피차/건강선물세트
25,1500000118853,종근당건강)기능성별베스트4종세트,미출력,커피차/건강,건강식품,커피차/건강선물세트
26,1500000118860,종근당건강)헬씨칸선물세트,미출력,커피차/건강,건강식품,커피차/건강선물세트
27,1500000118877,라이필)더마콜라겐선물세트(3병_12주분),미출력,커피차/건강,건강식품,커피차/건강선물세트
28,1500000118884,라이필)더마콜라겐선물세트(13병_52주분),미출력,커피차/건강,건강식품,커피차/건강선물세트
29,1500000120160,아임이_꿀차원컵진열대(D),미출력,커피차/건강,커피차,원컵커피차류
30,1500000126193,벌이랑꿀이랑)프리미엄떠먹는벌집케이크,미출력,커피차/건강,건강식품,커피차/건강선물세트
31,1500000181819,앱예약(이원화)비비랩)애사비탱글포켓14입x3,미출력,커피차/건강,건강식품,커피차/건강선물세트
32,1500000181826,앱예약(이원화)비비랩)유기농레몬애사비14입x3,미출력,커피차/건강,건강식품,커피차/건강선물세트
33,1500000187415,뉴트리디데이)비타민D선물세트3입(25추석),미출력,커피차/건강,건강식품,커피차/건강선물세트
34,1500000187422,뉴트리디데이)밀크씨슬선물세트3입(25추석),미출력,커피차/건강,건강식품,커피차/건강선물세트
35,1500000187439,뉴트리디데이)루테인선물세트3입(25추석),미출력,커피차/건강,건강식품,커피차/건강선물세트
