가격표출력,,,,,,
,,,,,,
,,,,,,
No,PLU코드,상품명,출력여부,대분류,중분류,소분류
1,0020714598907,대화)크리니크드라마티컬리디퍼런트로션125ml,미출력,헬스뷰티,화장품,스킨/보습로션
2,0020714915049,대화)크리니크모이스춰써지크림50ml,미출력,헬스뷰티,화장품,스킨/보습로션
3,0022548441084,랩시리즈)데일리레스큐워터로션세트(23추_C),미출력,헬스뷰티,바디케어,일상용품 선물세트
4,0022548441091,랩시리즈)데일리레스큐페이스로션세트(23추_C),미출력,헬스뷰티,바디케어,일상용품 선물세트
5,0027131267256,대화)에스티로더어드밴스드나이트리페어50ml,미출력,헬스뷰티,화장품,스킨/보습로션
6,0305210206779,바세린)립테라피오리지날립스7g,미출력,헬스뷰티,화장품,립케어/립밤
7,033200974673,유한)치약암앤해머덴탈케어오리지날,미출력,헬스뷰티,구강케어,치약
8,037000321361,G)비누아이보리90*3입,미출력,헬스뷰티,바디케어,비누
9,041388002040,HW)블리스텍스딥리뉴얼립밤3.7g,미출력,헬스뷰티,화장품,립케어/립밤
10,041388210209,HW)블리스텍스립릴리프크림립밤6ml,미출력,헬스뷰티,화장품,립케어/립밤
11,041388220550,블리스텍스)센스티브립밤4.25g,미출력,헬스뷰티,화장품,립케어/립밤
12,047400179349,질레트)마하3클래식면도날(4개입),미출력,헬스뷰티,면도용품,면도날
13,059338126401,대화)캐나디안포뮬러모이스처라이징크림453g,미출력,헬스뷰티,화장품,스킨/보습로션
14,059338126418,대화)캐나디안포뮬러모이스처라이징로션473ml,미출력,헬스뷰티,화장품,스킨/보습로션
15,0690251019113,조말론)잉글리쉬페어&프리지아코롱100ml,미출력,헬스뷰티,화장품,향수
16,0690251026104,조말론)블랙베리&베이코롱100ml,미출력,헬스뷰티,화장품,향수
17,0690251033713,조말론)우드세이지&씨솔트코롱100ml,미출력,헬스뷰티,화장품,향수
18,086449002256,해외)크리스탈데오드란트트래블스틱40g,미출력,헬스뷰티,화장품,데오드란트
19,086449256635,해외)크리스탈데오드란트롤온66ml,미출력,헬스뷰티,화장품,데오드란트
20,0882381002077,달팡)인트랄이너유쓰레스큐 세럼30mL(23추_C),미출력,헬스뷰티,바디케어,일상용품 선물세트
21,0882381004644,대화)달팡하이드라스킨라이트젤크림50ml,미출력,헬스뷰티,화장품,스킨/보습로션
22,0882381004651,대화)달팡하이드라스킨리치크림50ml,미출력,헬스뷰티,화장품,스킨/보습로션
23,1000021699022,크리니크)쏙보습크림75ml+각질케어토너200ml세트(23추_C),미출력,헬스뷰티,바디케어,일상용품 선물세트
24,1500000017941,아모레)중국인기상품세트,미출력,헬스뷰티,헤어케어,모발용품
25,1500000018788,니베아)립케어진열대(19년),미출력,헬스뷰티,화장품,립케어/립밤
26,1500000061210,챕스틱)립케어미니언즈진열대(19년),미출력,헬스뷰티,화장품,립케어/립밤
27,1500000061265,다슈)모발용품진열대,미출력,헬스뷰티,헤어케어,모발용품
28,1500000063443,루치온)클렌징팝3종세트(상품포함),미출력,헬스뷰티,화장품,클렌징용품
29,1500000068745,질레트)면도기(날)진열세트(상품포함),미출력,헬스뷰티,면도용품,면도기
30,1500000069636,생활관 패키지B,미출력,헬스뷰티,화장품,자외선차단제
31,1500000069643,카카오)선케어종이진열대(20년),미출력,헬스뷰티,화장품,자외선차단제
32,1500000103668,대화)아리얼투데이즈마스크팩진열집기,미출력,헬스뷰티,화장품,스킨/보습로션
33,1500000105259,니베아)립케어진열대(20년),미출력,헬스뷰티,화장품,립케어/립밤
34,1500000105341,생활관 패키지A,미출력,헬스뷰티,화장품,스킨/보습로션
35,1500000114466,뉴트로지나)클렌징용품진열대,미출력,헬스뷰티,화장품,클렌징용품
36,1500000115357,해외)듀이트리클렌징티슈진열대,미출력,헬스뷰티,화장품,클렌징용품
37,1500000116996,니베아)립케어진열대(21년),미출력,헬스뷰티,화장품,립케어/립밤
38,1500000117139,니베아)아트릭스핸드크림진열대,미출력,헬스뷰티,화장품,스킨/보습로션
39,1500000117207,피지오겔)홍보물세트(와블러+쇼카드ISP),미출력,헬스뷰티,화장품,스킨/보습로션
40,1500000126933,민생)쿨가글150ml(박스형APP예약),미출력,헬스뷰티,구강케어,구강세정제
41,1500000127220,LG)생활의기쁨9호(22설클리어런스),미출력,헬스뷰티,바디케어,일상용품 선물세트
42,1500000127237,LG)생활의품격24호(22설클리어런스),미출력,헬스뷰티,바디케어,일상용품 선물세트
43,1500000127244,애경)샤워메이트퍼퓸에디션(22설클리어런스),미출력,헬스뷰티,바디케어,일상용품 선물세트
44,1500000127251,LG)생활의품격13호(22설클리어런스),미출력,헬스뷰티,바디케어,일상용품 선물세트
45,1500000127305,LG)히말라야핑크솔트33호(22설클리어런스),미출력,헬스뷰티,바디케어,일상용품 선물세트
46,1500000127312,애경)케라시스리미티드에디션(22설클리어런스),미출력,헬스뷰티,바디케어,일상용품 선물세트
47,1500000127329,애경)랩신세트실속형2호(22설클리어런스),미출력,헬스뷰티,바디케어,일상용품 선물세트
48,1500000127336,LG)생활의품격샴푸&바디세트(22설클리어런스),미출력,헬스뷰티,바디케어,일상용품 선물세트
49,1500000127343,애경)존경드림25호(22설클리어런스),미출력,헬스뷰티,바디케어,일상용품 선물세트
50,1500000128289,니베아)립케어진열대(22년)_상품 미포함,미출력,헬스뷰티,화장품,립케어/립밤
51,1500000144074,ES)프로폴리테라안티에이징샴푸100ml(해체) ,미출력,헬스뷰티,바디케어,일상용품 선물세트
52,1500000144081,ES)프로폴리테라안티에이징트리트먼트100ml(해체),미출력,헬스뷰티,바디케어,일상용품 선물세트
53,1500000144098,ES)프로폴리테라안티에이징트리트먼트50ml(해체),미출력,헬스뷰티,바디케어,일상용품 선물세트
54,1500000153434,니베아)립케어진열대(24년)_상품 미포함,미출력,헬스뷰티,화장품,립케어/립밤
55,1500000175528,Plu)플루3종진열집기,미출력,헬스뷰티,화장품,클렌징용품
56,1500000175597,앱예약(이원화)Plu)바디스크럽(화이트머스크)75g,미출력,헬스뷰티,화장품,클렌징용품
57,1500000175627,앱예약(이원화)Plu)클렌징폼75g,미출력,헬스뷰티,화장품,클렌징용품
58,1500000175641,앱예약(이원화)Plu)리들샷에센스100 15ml*5,미출력,헬스뷰티,화장품,클렌징용품
59,1500000181383,룩픽스)거울형사이드집기,미출력,헬스뷰티,화장품,화장품세트
60,1500000182267,앱예약(이원화)이지클린칫솔4+4입이중미세모,미출력,헬스뷰티,구강케어,칫솔
61,1500000185008,앱예약(이원화)시코르헤이퓨리파잉마스크팩(1P),미출력,헬스뷰티,화장품,시코르
62,1500000185015,앱예약(이원화) 시코르 휘핑클렌징폼150g,미출력,헬스뷰티,화장품,시코르
63,1500000185022,앱예약(이원화) 시코르하이드레이팅클렌징워터100ml,미출력,헬스뷰티,화장품,시코르
64,1500000185039,앱예약(이원화) 시코르하이드레이팅클렌징워터400ml,미출력,헬스뷰티,화장품,시코르
65,1500000185046,앱예약(이원화) 시코르인리칭핸드크림50ml(드리미베이지),미출력,헬스뷰티,화장품,시코르
66,1500000185961,앱예약(이원화) 엘라스틴)마카다미아브라질넛샴푸1500ML,미출력,헬스뷰티,헤어케어,샴푸
67,1500000185978,앱예약(이원화) 엘라스틴)마카다미아브라질넛컨디셔너1500ML,미출력,헬스뷰티,헤어케어,샴푸
68,1500000195373,립케어)바세린립케어진열대(25년),미출력,헬스뷰티,화장품,립케어/립밤
69,1500000197643,머지)알피디알엔진열집기,미출력,헬스뷰티,화장품,스킨/보습로션
70,1500000199074,글로우업)진열집기(콜라겐바쿠치올),미출력,헬스뷰티,화장품,스킨/보습로션
71,1500000199081,글로우업)진열집기(영양장벽),미출력,헬스뷰티,화장품,스킨/보습로션
72,1500000199272,리더스)진열홍보물,미출력,헬스뷰티,화장품,스킨/보습로션
73,1500000201104,(앱예약)아임이)일자형치간칫솔0.7mm(26입),미출력,헬스뷰티,구강케어,칫솔
74,1500000201111,(앱예약)아임이)4중날면도기세트(면도기+면도날4입),미출력,헬스뷰티,면도용품,면도기
75,1500000203733,(앱예약)LG)샴푸&바디세트프리미엄(26설),미출력,헬스뷰티,바디케어,일상용품 선물세트
76,1500000203757,(앱예약)LG)프로폴리스V호(26설),미출력,헬스뷰티,바디케어,일상용품 선물세트
77,1500000203764,(앱예약)LG)생활의감동모던라이프(26설),미출력,헬스뷰티,바디케어,일상용품 선물세트
78,1500000203771,(앱예약)LG)생활의품격S3호(26설),미출력,헬스뷰티,바디케어,일상용품 선물세트
79,1500000203788,(앱예약)LG)히말라야핑크솔트프라임(26설),미출력,헬스뷰티,바디케어,일상용품 선물세트
80,2690000065215,시코르)TO GO 9종 행복SET(집기),미출력,헬스뷰티,화장품,시코르
81,2690000065611,시코르)TO GO 9종 행복SET(상품),미출력,헬스뷰티,화장품,시코르
82,2690000066816,시코르)상품진열전용집기700(상품미포함),미출력,헬스뷰티,화장품,시코르
83,3014260220051,질레트 시리즈젤 모이스처 195ml,미출력,헬스뷰티,면도용품,쉐이빙크림
84,3014260274917,마하3)터보면도날4입,미출력,헬스뷰티,면도용품,면도날
85,3014260781033,오랄비)칫솔엑스퍼트7토탈케어,미출력,헬스뷰티,구강케어,칫솔
86,3014260844622,오랄비)칫솔후레쉬40모,미출력,헬스뷰티,구강케어,칫솔
87,305210206779,바세린)립테라피오리지날립스7g,미출력,헬스뷰티,화장품,립케어/립밤
88,3253581453704,대화)록시땅핸드크림30ml_시어버터,미출력,헬스뷰티,화장품,스킨/보습로션
89,3253581471838,대화)록시땅핸드크림30ml_아몬드,미출력,헬스뷰티,화장품,스킨/보습로션
90,3264680002007,대화)눅스프로디지쥬멀티드라이오일100ml,미출력,헬스뷰티,화장품,스킨/보습로션
91,3367729007343,대화)비오템옴므아쿠아파워모이스춰라이저75ml,미출력,헬스뷰티,화장품,스킨/보습로션
92,3386461515671,랑방)에끌라드아르페쥬EDP100ml,미출력,헬스뷰티,화장품,향수
93,3386461519457,대화)랑방에끌라드아르페쥬EDP30 ml,미출력,헬스뷰티,화장품,향수
94,3607343811835,대화)캘빈클라인CKOneEDT100ml,미출력,헬스뷰티,화장품,향수
95,3614271773975,대화)비오템옴므아쿠아파워토너200ml,미출력,헬스뷰티,화장품,스킨/보습로션
96,3616302022489,구찌)플로라골저스가드니아EDP50ml,미출력,헬스뷰티,화장품,향수
97,4000196012098,카밀)핸드&네일크림클래식100ml,미출력,헬스뷰티,화장품,스킨/보습로션
98,4000196936561,카밀)핸드&네일크림클래식100ml_New,미출력,헬스뷰티,화장품,스킨/보습로션
99,4000196936707,카밀)핸드&네일크림스위티75ml(딸기향),미출력,헬스뷰티,화장품,스킨/보습로션
100,4005800189142,아쿠아퍼)립리페어10ml,미출력,헬스뷰티,화장품,립케어/립밤
101,4005808309405,니베아)인텐시브바디로션125ml,미출력,헬스뷰티,화장품,스킨/보습로션
102,4005808310883,니베아)익스프레스바디로션125ml,미출력,헬스뷰티,화장품,스킨/보습로션
103,4005808321858,니베아)맨데오롤온쿨킥50ml,미출력,헬스뷰티,화장품,데오드란트
104,4005808369485,니베아)립케어에센셜4.8g,미출력,헬스뷰티,화장품,립케어/립밤
105,4005808372881,니베아)립케어스트로베리4.8g,미출력,헬스뷰티,화장품,립케어/립밤
106,4005808373000,니베아)립케어맨액티브4.8g,미출력,헬스뷰티,화장품,립케어/립밤
107,4005808512829,니베아)드라이콤포트데오60ml(스프레이),미출력,헬스뷰티,화장품,데오드란트
108,4005808512836,니베아)엑스트라브라이트데오60ml(스프레이),미출력,헬스뷰티,화장품,데오드란트
109,4005808514410,니베아)후레쉬선로션75ml,미출력,헬스뷰티,화장품,자외선차단제
110,4005808514427,니베아)선로션어린이SPF35,미출력,헬스뷰티,화장품,자외선차단제
111,4005808516582,니베아)선로션SPF50+_50ml,미출력,헬스뷰티,화장품,자외선차단제
112,4005808517572,니베아)립케어모이스춰4.8g,미출력,헬스뷰티,화장품,립케어/립밤
113,4005808517589,니베아)립케어체리4.8g,미출력,헬스뷰티,화장품,립케어/립밤
114,4005808590438,니베아)포켓선로션50ml,미출력,헬스뷰티,화장품,자외선차단제
115,4005808725212,니베아)드라이데오롤온50ml,미출력,헬스뷰티,화장품,데오드란트
116,4005808801022,니베아)바디크림60ml,미출력,헬스뷰티,화장품,스킨/보습로션
117,4005808813001,니베아)포맨발삼로션100ml,미출력,헬스뷰티,화장품,스킨/보습로션
118,4005808813803,니베아)포맨스킨100ml,미출력,헬스뷰티,화장품,스킨/보습로션
119,4005808817207,니베아)센서티브쉐이빙폼200ml,미출력,헬스뷰티,면도용품,쉐이빙크림
120,4005808817405,니베아)센서티브쉐이빙젤200ml,미출력,헬스뷰티,면도용품,쉐이빙크림
121,4005808817658,니베아)쉐이빙폼200ml,미출력,헬스뷰티,면도용품,쉐이빙크림
122,4005808820221,니베아)핸드크림아트릭스75ml,미출력,헬스뷰티,화장품,스킨/보습로션
123,4005808854165,니베아)선블록SPF50,미출력,헬스뷰티,화장품,자외선차단제
124,4005808856015,니베아)화이트선크림50ml,미출력,헬스뷰티,화장품,자외선차단제
125,4005808888382,니베아)맨오일컨트롤훼이스워시폼100g,미출력,헬스뷰티,화장품,클렌징용품
126,4005808891412,니베아)인텐시브바디로션400ML(F),미출력,헬스뷰티,화장품,스킨/보습로션
127,4005808891436,니베아)바디익스프레스로션400ml,미출력,헬스뷰티,화장품,스킨/보습로션
128,4005808891450,니베아)SOS바디로션400ML(F),미출력,헬스뷰티,화장품,스킨/보습로션
129,4005808984763,니베아)퍼펙트선세럼90ml,미출력,헬스뷰티,화장품,자외선차단제
130,4005900023124,니베아)핸드크림스무드나리싱,미출력,헬스뷰티,화장품,스킨/보습로션
131,4005900268105,데오)하이드로퓨갈미스트30ml,미출력,헬스뷰티,화장품,데오드란트
132,4005900475978,니베아)선페이스영에이지크림50ml,미출력,헬스뷰티,화장품,자외선차단제
133,4005900605528,니베아)맨센서티브올인원로션,미출력,헬스뷰티,화장품,스킨/보습로션
134,4005900667731,니베아)바디오일로션체리블로썸125ml,미출력,헬스뷰티,화장품,스킨/보습로션
135,4005900758002,니베아)내추럴리굿그린티데오미스트75ml,미출력,헬스뷰티,화장품,데오드란트
136,4210201028017,오랄비)칫솔마이크로씬클린,미출력,헬스뷰티,구강케어,칫솔
137,4210201028192,G)오랄비칫솔마이크로씬4입,미출력,헬스뷰티,구강케어,칫솔
138,4210201822516,오랄비)크로스액션파워전동칫솔,미출력,헬스뷰티,구강케어,칫솔
139,4210201822608,오랄비)크로스액션파워화이트닝리필(2입),미출력,헬스뷰티,구강케어,칫솔
140,42332619,니베아)SOS핸드크림75ml,미출력,헬스뷰티,화장품,스킨/보습로션
141,42355021,니베아)클렌징워터프로페셔널125ml,미출력,헬스뷰티,화장품,클렌징용품
142,42419846,니베아)내추럴리굿그린티데오롤온50ml,미출력,헬스뷰티,화장품,데오드란트
143,42467083,니베아)모이스처선로션100ml,미출력,헬스뷰티,화장품,자외선차단제
144,4550516474636,센카)퍼펙트휩화이트클레이120g(New),미출력,헬스뷰티,화장품,클렌징용품
145,4550516705464,센카)퍼펙트휩비타민C포어리스글로우100g,미출력,헬스뷰티,화장품,클렌징용품
