feature,importance
sales_qty,0.2989634934946564
purchase_qty,0.17813236414842343
month,0.15483337749669984
rolling_mean_28,0.0688471576427121
rolling_mean_7,0.051095864413891
rolling_mean_14,0.04900460290643524
sales_lag_1,0.0398792286802558
day,0.039878961087952865
weekday,0.03531660789677487
class_count,0.03077626040987883
plu_code,0.017918652932738758
sales_lag_7,0.013799995145928673
product_category,0.008502514162577962
is_weekend,0.007970260248061389
year,0.0050806593330127246
is_start_semester,0.0
is_end_semester,0.0
is_exam,0.0
is_holiday_or_no_class,0.0
is_festival,0.0
is_vacation,0.0
thursday_class_count,0.0
monday_class_count,0.0
friday_class_count,0.0
tuesday_class_count,0.0
wednesday_class_count,0.0
