feature,importance
rolling_mean_14,0.16353496451251856
day,0.12477483503885085
rolling_mean_7,0.11448913260330386
rolling_mean_28,0.10974222742958767
sales_qty,0.06703274699007088
month,0.06601886671262763
weekday,0.058127185384663896
product_category,0.05630809876915862
plu_code,0.052571620466593534
sales_lag_7,0.052460362305814176
sales_lag_1,0.050229285080392976
class_count,0.033869579025927785
is_rainy,0.022902247543789667
year,0.013718376636024567
is_hot,0.007404571903095097
is_weekend,0.0038200792396309888
is_cold,0.0029958203579493457
monday_class_count,0.0
tuesday_class_count,0.0
wednesday_class_count,0.0
thursday_class_count,0.0
friday_class_count,0.0
is_semester,0.0
