feature,importance
sales_qty,0.3005720742418928
purchase_qty,0.1764819675130601
month,0.1262772464086795
rolling_mean_28,0.06698888801376646
rolling_mean_14,0.05075365684187795
class_count,0.044892787563426226
weekday,0.04313622904429424
rolling_mean_7,0.041219070368973584
day,0.039024875771005066
sales_lag_1,0.034959076439085156
plu_code,0.01829546288122558
sales_lag_7,0.012997121699925295
is_hot,0.012990566649376365
is_rainy,0.00882469217451294
product_category,0.008364802408169841
year,0.005208702479088039
is_weekend,0.004812227505555086
is_cold,0.004200551996085778
monday_class_count,0.0
tuesday_class_count,0.0
wednesday_class_count,0.0
is_semester,0.0
friday_class_count,0.0
thursday_class_count,0.0
