feature,importance
sales_qty,0.2532562742682712
month,0.1344362855035634
purchase_qty,0.10386900404627927
rolling_mean_28,0.09400137215885061
rolling_mean_14,0.08917107605778776
day,0.08107778882725288
rolling_mean_7,0.05374444127983607
weekday,0.0488683910496951
sales_lag_1,0.03144010699797933
class_count,0.027926272113621052
plu_code,0.01962200156937976
year,0.015475127299134002
sales_lag_7,0.015135344937447674
is_cold,0.00955340431613617
product_category,0.008945487035378868
is_weekend,0.005821287645757413
is_rainy,0.0045950138097508
is_hot,0.0030613210838787595
is_vacation,0.0
is_end_semester,0.0
is_start_semester,0.0
tuesday_class_count,0.0
monday_class_count,0.0
is_holiday_or_no_class,0.0
is_festival,0.0
is_exam,0.0
thursday_class_count,0.0
friday_class_count,0.0
wednesday_class_count,0.0
