feature,importance
sales_qty,0.3075286026268792
purchase_qty,0.16915625645185658
avg_temp,0.08644958019417216
rolling_mean_28,0.07584512038217303
rolling_mean_14,0.05501924705867547
min_temp,0.0550107002328449
max_temp,0.053351904325792676
month,0.036585385369682956
rolling_mean_7,0.035621147564635136
day,0.03430722784173224
sales_lag_1,0.02812384262288686
plu_code,0.016747503727274
weekday,0.013831726277564701
sales_lag_7,0.009417141527070683
product_category,0.008492309288420898
class_count,0.006816797053478037
rainfall,0.003986585174974373
year,0.0035435156860419157
is_weekend,0.00016540659384435327
wednesday_class_count,0.0
is_exam,0.0
is_end_semester,0.0
is_start_semester,0.0
tuesday_class_count,0.0
monday_class_count,0.0
is_holiday_or_no_class,0.0
is_vacation,0.0
is_festival,0.0
friday_class_count,0.0
thursday_class_count,0.0
